project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
OpenRA/OpenRA,Procedural_Static_Disallow_Managed,58403,10056,187,114,1318,8437,3301,193,6562,601210,290,4555
OpenRA/OpenRA,Scripting_Dynamic_Allow_Managed,31,0,0,0,0,0,0,0,0,412,4,190
Openarl/PathOfBuilding,Procedural_Dynamic_Allow_Managed,4619,1351,3,4,36,1308,609,84,658,506990,35,1315
PHPMailer/PHPMailer,Scripting_Dynamic_Allow_Managed,1609,300,5,2,6,287,122,4,174,44010,169,4045
PHPOffice/PHPExcel,Scripting_Dynamic_Allow_Managed,4471,1038,4,1,91,942,455,10,573,284133,66,2225
PerfectlySoft/Perfect,Functional_Static_Disallow_Managed,1625,123,0,13,10,100,88,2,33,45778,37,1254
PerfectlySoft/Perfect,Procedural_Static_Allow_Unmanaged,3198,14,0,0,0,14,14,0,0,414120,4,231
PhilJay/MPAndroidChart,Procedural_Static_Disallow_Managed,7343,1740,5,14,90,1631,866,117,757,144887,63,1827
PowerShell/PowerShell,Procedural_Static_Allow_Unmanaged,1062,138,0,2,28,108,88,0,50,24193,38,1327
PowerShell/PowerShell,Procedural_Static_Disallow_Managed,22375,3772,21,30,1035,2686,2258,13,1501,1343590,205,1656
PowerShell/PowerShell,Scripting_Dynamic_Allow_Managed,7,3,0,0,0,3,2,0,1,112,1,839
Quick/Quick,Functional_Static_Disallow_Managed,1530,150,3,0,1,146,66,0,84,13234,60,1960
Quick/Quick,Procedural_Static_Allow_Unmanaged,556,59,1,0,1,57,24,0,35,3577,39,1929
ReactTraining/react-router,Scripting_Dynamic_Allow_Managed,8671,1552,28,10,46,1468,1039,5,508,576300,291,1990
ReactiveCocoa/ReactiveCocoa,Functional_Static_Disallow_Managed,5263,505,3,19,33,450,249,3,253,106572,141,2000
ReactiveCocoa/ReactiveCocoa,Procedural_Static_Allow_Unmanaged,8169,696,7,52,43,594,280,9,407,90480,102,2839
ReactiveX/RxJava,Functional_Static_Disallow_Managed,1049,119,0,14,6,99,52,0,67,22463,24,579
ReactiveX/RxJava,Procedural_Static_Disallow_Managed,34234,10046,93,352,279,9322,7417,103,2526,1471601,231,2808
ReactiveX/RxSwift,Functional_Static_Disallow_Managed,14181,2070,7,66,40,1957,691,321,1058,232764,266,1619
ReactiveX/RxSwift,Procedural_Static_Allow_Unmanaged,239,39,0,0,0,39,19,3,17,4987,14,1459
ReactiveX/RxSwift,Scripting_Dynamic_Allow_Managed,82,19,0,0,0,19,0,1,18,986,2,386
ReactiveX/rxjs,Scripting_Dynamic_Allow_Managed,4003,322,12,5,18,287,185,21,116,102588,61,1718
RestKit/RestKit,Procedural_Static_Allow_Unmanaged,11668,2233,8,126,236,1863,1157,33,1043,232323,192,3238
RestKit/RestKit,Scripting_Dynamic_Allow_Managed,28,1,0,0,0,1,0,0,1,13781,4,682
RestKit/RestKit,Scripting_Dynamic_Disallow_Managed,1402,32,0,1,4,27,11,0,21,14592,17,1900
ReturnInfinity/BareMetal-OS-legacy,Procedural_Static_Allow_Unmanaged,140,26,1,0,0,25,9,0,17,3208,7,1997
SDWebImage/SDWebImage,Procedural_Static_Allow_Unmanaged,3814,984,15,85,119,765,586,12,386,50210,245,3728
SVProgressHUD/SVProgressHUD,Procedural_Static_Allow_Unmanaged,680,234,1,3,7,223,70,14,150,8208,108,2986
Seldaek/monolog,Scripting_Dynamic_Allow_Managed,3471,1303,1,21,32,1249,456,398,449,43306,375,3215
SeleniumHQ/selenium,Procedural_Static_Allow_Unmanaged,8668,1424,45,247,108,1024,805,197,422,1215771,46,4517
SeleniumHQ/selenium,Procedural_Static_Disallow_Managed,58721,6702,105,232,220,6145,3619,74,3009,1278889,284,5515
SeleniumHQ/selenium,Scripting_Dynamic_Allow_Managed,24879,4239,59,49,87,4044,3172,27,1040,1915793,181,5510
SeleniumHQ/selenium,Scripting_Dynamic_Disallow_Managed,15914,2348,19,34,89,2206,1413,19,916,429912,282,5512
ShareX/ShareX,Procedural_Static_Disallow_Managed,21566,2419,7,20,93,2299,1393,27,999,399519,162,2226
Shopify/liquid,Scripting_Dynamic_Disallow_Managed,2377,489,0,72,11,406,212,2,275,21576,143,4184
SignalR/SignalR,Procedural_Static_Disallow_Managed,13431,2663,76,169,241,2177,1648,69,946,207391,88,3005
SignalR/SignalR,Scripting_Dynamic_Allow_Managed,3918,898,110,0,54,734,572,18,308,327386,41,2810
SnapKit/SnapKit,Functional_Static_Disallow_Managed,629,125,1,1,12,111,75,0,50,13828,57,1951
Sonarr/Sonarr,Procedural_Static_Disallow_Managed,30962,6445,95,106,284,5960,3416,342,2687,455710,122,3362
Sonarr/Sonarr,Scripting_Dynamic_Allow_Managed,9054,971,10,13,56,892,554,24,393,1094786,36,3352
SpinalHDL/VexRiscv,Functional_Static_Disallow_Managed,1591,254,1,16,66,171,110,12,132,30324,9,969
