project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
facebook/rocksdb,Procedural_Static_Allow_Unmanaged,31522,7141,135,608,1624,4774,5527,302,1312,797141,599,3189
facebook/rocksdb,Procedural_Static_Disallow_Managed,2201,328,0,9,78,241,265,3,60,82401,85,2609
facebook/rocksdb,Scripting_Dynamic_Allow_Managed,99,20,0,0,5,15,14,0,6,2413,22,2506
facebook/rocksdb,Scripting_Dynamic_Disallow_Managed,276,60,0,4,9,47,50,0,10,15981,58,2524
facebook/yoga,Functional_Static_Disallow_Managed,35,9,0,0,7,2,2,0,7,626,8,1034
facebook/yoga,Procedural_Static_Allow_Unmanaged,3350,542,20,2,97,423,488,11,43,190065,117,2055
facebook/yoga,Procedural_Static_Disallow_Managed,2385,388,2,1,34,351,375,1,12,108004,71,1902
facebook/yoga,Scripting_Dynamic_Allow_Managed,1466,277,4,0,10,263,244,0,33,57026,59,2024
facebook/yoga,Scripting_Dynamic_Disallow_Managed,48,10,0,0,1,9,9,0,1,524,14,1087
facebook/zstd,Procedural_Static_Allow_Unmanaged,9633,2444,16,108,328,1992,1206,98,1140,281493,118,1775
facebook/zstd,Scripting_Dynamic_Disallow_Managed,104,18,1,0,0,17,7,8,3,2777,8,1257
faif/python-patterns,Scripting_Dynamic_Disallow_Managed,1017,187,0,2,0,185,61,0,126,10122,104,2717
faker-ruby/faker,Scripting_Dynamic_Disallow_Managed,4143,1006,7,2,11,986,681,3,322,38769,465,4398
fastlane/fastlane,Functional_Static_Disallow_Managed,1243,86,8,20,1,57,75,0,11,16284,60,1607
fastlane/fastlane,Procedural_Static_Allow_Unmanaged,343,101,0,79,0,22,101,0,0,2589,9,1323
fastlane/fastlane,Procedural_Static_Disallow_Managed,96,9,0,0,0,9,5,0,4,1962,18,1426
fastlane/fastlane,Scripting_Dynamic_Allow_Managed,41,8,0,2,0,6,3,0,5,380,5,483
fastlane/fastlane,Scripting_Dynamic_Disallow_Managed,20471,4553,51,33,83,4386,2424,358,1771,220032,1046,1905
fatedier/frp,Procedural_Static_Disallow_Managed,5164,247,26,1,6,214,75,0,172,702291,34,1398
fatedier/frp,Scripting_Dynamic_Allow_Managed,88,8,0,0,0,8,4,0,4,1167,2,915
felixse/FluentTerminal,Procedural_Static_Disallow_Managed,1856,494,10,9,28,447,340,14,140,37980,30,682
felixse/FluentTerminal,Scripting_Dynamic_Allow_Managed,68,8,0,0,0,8,6,0,2,15469,7,493
filp/whoops,Scripting_Dynamic_Allow_Managed,958,261,0,1,9,251,52,53,156,11663,109,2456
flatpickr/flatpickr,Scripting_Dynamic_Allow_Managed,2668,695,2,4,32,657,302,12,381,51704,100,1658
fluent/fluentd,Scripting_Dynamic_Disallow_Managed,6674,1547,3,97,69,1378,687,22,838,141423,196,3095
formatjs/react-intl,Scripting_Dynamic_Allow_Managed,1915,219,0,0,6,213,118,4,97,32509,52,2021
freeCodeCamp/devdocs,Scripting_Dynamic_Allow_Managed,1814,228,0,8,7,213,122,2,104,35385,39,2179
freeCodeCamp/devdocs,Scripting_Dynamic_Disallow_Managed,4197,236,0,0,3,233,81,31,124,46338,89,2192
freeCodeCamp/freeCodeCamp,Scripting_Dynamic_Allow_Managed,12320,3631,74,33,134,3390,1575,30,2026,701391,293,2218
fxsjy/jieba,Scripting_Dynamic_Disallow_Managed,631,117,0,0,6,111,55,1,61,990344,38,2464
fzaninotto/Faker,Scripting_Dynamic_Allow_Managed,3482,1078,2,1,15,1060,411,16,651,210165,492,2966
gatling/gatling,Functional_Static_Disallow_Managed,32842,2786,23,36,95,2632,757,19,2010,249856,119,3100
gatling/gatling,Procedural_Static_Disallow_Managed,1382,158,0,2,28,128,38,21,99,51518,23,3084
gatling/gatling,Scripting_Dynamic_Allow_Managed,63,8,0,0,0,8,3,0,5,1787,15,2783
gatling/gatling,Scripting_Dynamic_Disallow_Managed,15,0,0,0,0,0,0,0,0,289,4,1830
gatsbyjs/gatsby,Scripting_Dynamic_Allow_Managed,18327,6917,120,55,469,6273,4659,116,2142,368556,1133,1643
gentilkiwi/mimikatz,Procedural_Static_Allow_Unmanaged,2032,455,2,8,56,389,183,5,267,410052,3,2058
getgrav/grav,Scripting_Dynamic_Allow_Managed,8735,1718,17,17,110,1574,774,91,853,183146,130,1955
getsentry/sentry,Procedural_Dynamic_Allow_Managed,32,9,1,0,3,5,5,0,4,3870,6,1379
getsentry/sentry,Scripting_Dynamic_Allow_Managed,26551,5864,69,59,306,5430,3489,63,2312,537712,131,3388
getsentry/sentry,Scripting_Dynamic_Disallow_Managed,46373,8464,156,140,364,7804,4270,105,4089,1650427,371,4230
ggreer/the_silver_searcher,Procedural_Static_Allow_Unmanaged,1681,397,6,13,56,322,206,18,173,13868,171,2662
gin-gonic/gin,Procedural_Static_Disallow_Managed,1790,427,5,7,63,352,134,16,277,27413,198,1988
gin-gonic/gin,Scripting_Dynamic_Allow_Managed,14,5,0,0,0,5,0,0,5,304,3,1388
git/git,Procedural_Static_Allow_Unmanaged,41946,9490,215,225,2065,6985,6550,199,2741,598373,1087,5354
git/git,Scripting_Dynamic_Allow_Managed,476,131,3,3,8,117,95,6,30,18405,115,5293
git/git,Scripting_Dynamic_Disallow_Managed,402,114,2,1,6,105,89,0,25,16058,78,5168
gitbucket/gitbucket,Functional_Static_Disallow_Managed,5559,1115,2,10,40,1063,363,19,733,83227,114,2434
gitbucket/gitbucket,Procedural_Static_Disallow_Managed,125,7,0,0,0,7,2,0,5,634,14,2328
gitbucket/gitbucket,Scripting_Dynamic_Allow_Managed,963,32,3,0,2,27,10,1,21,525789,19,2372
github/hub,Procedural_Static_Disallow_Managed,4403,542,11,1,30,500,287,5,250,367555,114,2436
github/hub,Scripting_Dynamic_Disallow_Managed,970,250,2,3,5,240,149,2,99,10385,62,3646
github/hubot-scripts,Scripting_Dynamic_Allow_Managed,2746,572,1,1,8,562,134,3,435,46606,798,1699
github/linguist,Procedural_Static_Allow_Unmanaged,416,50,0,0,0,50,45,0,5,114126,39,3050
github/linguist,Procedural_Static_Disallow_Managed,70,7,0,0,0,7,7,0,0,10292,14,2896
github/linguist,Scripting_Dynamic_Allow_Managed,250,24,0,0,0,24,8,0,16,49890,27,3072
github/linguist,Scripting_Dynamic_Disallow_Managed,2301,278,2,2,6,268,102,7,169,24968,235,3137
gitlabhq/gitlabhq,Scripting_Dynamic_Allow_Managed,28664,5121,38,55,292,4736,2589,141,2391,1023264,521,2983
gitlabhq/gitlabhq,Scripting_Dynamic_Disallow_Managed,142312,23247,259,545,1434,21009,11411,376,11460,1633520,1545,2983
gnachman/iTerm2,Functional_Static_Disallow_Managed,59,16,0,0,0,16,14,0,2,2130,1,222
gnachman/iTerm2,Procedural_Static_Allow_Unmanaged,29341,9155,152,287,1221,7495,5692,273,3190,820896,157,3429
gnachman/iTerm2,Scripting_Dynamic_Allow_Managed,47,5,0,0,0,5,2,0,3,26533,5,1236
gnachman/iTerm2,Scripting_Dynamic_Disallow_Managed,3655,261,0,4,4,253,138,3,120,541904,16,3413
go-gitea/gitea,Procedural_Static_Allow_Unmanaged,20,3,0,0,0,3,3,0,0,269458,7,1111
go-gitea/gitea,Procedural_Static_Disallow_Managed,23203,8387,85,149,316,7837,4346,33,4008,2102815,472,2127
go-gitea/gitea,Scripting_Dynamic_Allow_Managed,1250,221,2,5,4,210,115,1,105,235569,99,2123
go-kit/kit,Procedural_Static_Disallow_Managed,3004,354,8,9,10,327,140,0,214,94043,154,1732
godotengine/godot,Procedural_Static_Allow_Unmanaged,80838,23672,211,240,1510,21711,13150,879,9643,4716872,1145,2130
godotengine/godot,Procedural_Static_Disallow_Managed,1383,425,1,2,53,369,239,0,186,58481,74,2125
godotengine/godot,Scripting_Dynamic_Allow_Managed,419,244,0,1,0,243,6,0,238,76590,12,2107
godotengine/godot,Scripting_Dynamic_Disallow_Managed,1548,584,4,7,14,559,301,30,253,36564,179,2128
gogs/gogs,Procedural_Static_Disallow_Managed,12740,3108,33,25,56,2994,1272,10,1826,884447,265,2126
gogs/gogs,Scripting_Dynamic_Allow_Managed,670,99,2,1,1,95,25,0,74,112330,39,2095
gohugoio/hugo,Procedural_Static_Disallow_Managed,10501,3887,165,119,207,3396,2084,52,1751,225276,310,2350
gohugoio/hugo,Scripting_Dynamic_Allow_Managed,213,27,0,0,0,27,20,0,7,43998,7,2194
golang/go,Procedural_Static_Allow_Unmanaged,18845,5910,45,340,754,4771,5440,56,414,574019,191,4245
golang/go,Procedural_Static_Disallow_Managed,106428,29827,473,1415,2343,25596,27267,449,2111,4466296,1643,4291
golang/go,Scripting_Dynamic_Allow_Managed,224,55,0,3,1,51,51,1,3,9853,49,3713
golang/go,Scripting_Dynamic_Disallow_Managed,274,99,1,4,2,92,93,0,6,12540,51,3475
gollum/gollum,Scripting_Dynamic_Allow_Managed,3522,82,0,1,4,77,35,0,47,453788,36,2104
gollum/gollum,Scripting_Dynamic_Disallow_Managed,1549,339,3,0,7,329,104,0,235,14587,120,3099
google/ExoPlayer,Procedural_Static_Allow_Unmanaged,119,20,0,0,1,19,15,0,5,4082,16,1738
google/ExoPlayer,Procedural_Static_Disallow_Managed,24169,4416,51,162,577,3626,2827,54,1535,546858,211,1995
google/brotli,Procedural_Dynamic_Allow_Managed,10,3,0,0,0,3,3,0,0,134,4,389
google/brotli,Procedural_Static_Allow_Unmanaged,2248,805,28,3,64,710,491,8,306,164281,37,2111
google/brotli,Procedural_Static_Disallow_Managed,229,108,0,0,14,94,56,0,52,11210,2,906
google/brotli,Scripting_Dynamic_Allow_Managed,17,15,0,0,2,13,7,4,4,2704,2,613
google/brotli,Scripting_Dynamic_Disallow_Managed,139,27,0,0,4,23,18,0,9,4834,15,1730
google/flatbuffers,Procedural_Dynamic_Allow_Managed,55,35,0,0,0,35,31,0,4,2968,10,497
google/flatbuffers,Procedural_Static_Allow_Unmanaged,2531,995,12,1,64,918,783,12,200,85839,289,2141
google/flatbuffers,Procedural_Static_Disallow_Managed,1269,435,6,0,23,406,359,12,64,27069,105,2128
google/flatbuffers,Scripting_Dynamic_Allow_Managed,233,93,0,0,7,86,78,0,15,14154,39,2106
google/flatbuffers,Scripting_Dynamic_Disallow_Managed,204,97,23,0,3,71,63,0,34,8042,37,1812
google/googletest,Procedural_Static_Allow_Unmanaged,4354,865,6,27,42,790,567,9,289,129635,148,4166
google/googletest,Scripting_Dynamic_Disallow_Managed,543,98,1,0,18,79,63,0,35,19155,38,4166
google/gson,Procedural_Static_Disallow_Managed,3706,722,1,7,39,675,453,35,234,72524,77,4074
google/guava,Procedural_Static_Disallow_Managed,35495,7435,15,150,578,6692,3583,28,3824,1260448,340,3736
google/leveldb,Procedural_Static_Allow_Unmanaged,1869,544,0,42,82,420,355,93,96,45736,44,3180
grafana/grafana,Procedural_Static_Allow_Unmanaged,579,6,0,3,0,3,6,0,0,535226,4,1767
grafana/grafana,Procedural_Static_Disallow_Managed,27338,4546,67,28,236,4215,2795,17,1734,3793650,416,1951
grafana/grafana,Scripting_Dynamic_Allow_Managed,23069,2395,24,9,64,2298,1320,124,951,1708577,320,2509
grafana/grafana,Scripting_Dynamic_Disallow_Managed,22,1,0,0,0,1,1,0,0,1434,6,1796
greenrobot/EventBus,Procedural_Static_Disallow_Managed,934,61,0,6,0,55,40,1,20,15920,14,2683
grpc/grpc,Functional_Static_Disallow_Managed,20,5,0,2,0,3,1,0,4,252,6,1192
grpc/grpc,Procedural_Static_Allow_Unmanaged,72077,12518,88,685,1391,10354,3594,191,8733,1455445,396,1840
grpc/grpc,Procedural_Static_Disallow_Managed,4361,706,0,16,10,680,87,1,618,109392,77,1775
grpc/grpc,Scripting_Dynamic_Allow_Managed,3113,413,0,24,61,328,138,5,270,77803,49,1807
grpc/grpc,Scripting_Dynamic_Disallow_Managed,11666,1656,8,87,68,1493,599,24,1033,235165,221,1838
gulpjs/gulp,Scripting_Dynamic_Allow_Managed,443,62,1,0,0,61,17,0,45,4618,33,2132
guzzle/guzzle,Scripting_Dynamic_Allow_Managed,10370,1754,35,5,71,1643,604,121,1029,150995,254,3206
guzzle/guzzle,Scripting_Dynamic_Disallow_Managed,12,1,0,0,0,1,1,0,0,179,1,634
h2o/h2o,Procedural_Static_Allow_Unmanaged,11989,1391,39,55,175,1122,604,26,761,470342,92,1939
h2o/h2o,Scripting_Dynamic_Allow_Managed,371,54,0,1,2,51,14,0,40,16786,14,1935
h2o/h2o,Scripting_Dynamic_Disallow_Managed,1366,18,2,0,1,15,4,0,14,61213,11,1536
h5bp/html5-boilerplate,Procedural_Static_Disallow_Managed,20,4,0,0,0,4,4,0,0,0,7,538
h5bp/html5-boilerplate,Scripting_Dynamic_Allow_Managed,354,59,0,0,0,59,35,3,21,58011,54,3559
hackiftekhar/IQKeyboardManager,Functional_Static_Disallow_Managed,929,272,5,2,17,248,154,4,114,22696,35,1915
hackiftekhar/IQKeyboardManager,Procedural_Static_Allow_Unmanaged,1761,661,10,3,19,629,316,13,332,48571,50,2492
hakimel/reveal.js,Scripting_Dynamic_Allow_Managed,1549,316,7,1,21,287,143,7,166,28881,179,2844
hankcs/HanLP,Procedural_Static_Disallow_Managed,3761,100,0,0,6,94,8,0,92,113302,32,1888
haoel/leetcode,Procedural_Static_Allow_Unmanaged,1264,108,7,0,5,96,22,1,85,26143,30,1807
haoel/leetcode,Procedural_Static_Disallow_Managed,223,0,0,0,0,0,0,0,0,4989,5,862
haoel/leetcode,Scripting_Dynamic_Disallow_Managed,75,0,0,0,0,0,0,0,0,1254,1,34
hashicorp/consul,Procedural_Static_Allow_Unmanaged,23,6,0,0,0,6,5,0,1,834,10,1318
hashicorp/consul,Procedural_Static_Disallow_Managed,30901,4134,67,269,197,3601,2573,2,1559,3659597,267,2195
hashicorp/consul,Scripting_Dynamic_Allow_Managed,2580,167,5,0,10,152,106,0,61,157177,43,2131
hashicorp/consul,Scripting_Dynamic_Disallow_Managed,94,2,0,0,0,2,1,0,1,388,24,2131
hashicorp/terraform,Procedural_Static_Allow_Unmanaged,25,6,0,0,0,6,5,0,1,453,9,1137
hashicorp/terraform,Procedural_Static_Disallow_Managed,71672,9809,98,181,234,9296,6942,66,2801,8052516,1047,2028
hashicorp/terraform,Scripting_Dynamic_Allow_Managed,400,69,0,2,1,66,22,4,43,19223,16,1751
hashicorp/terraform,Scripting_Dynamic_Disallow_Managed,97,10,0,0,1,9,6,0,4,3577,24,1911
hashicorp/vagrant,Scripting_Dynamic_Allow_Managed,61,2,0,0,0,2,0,0,2,3995,6,2504
hashicorp/vagrant,Scripting_Dynamic_Disallow_Managed,17625,2910,46,66,105,2693,1838,19,1053,217182,780,3594
hashicorp/vault,Procedural_Static_Allow_Unmanaged,20,0,0,0,0,0,0,0,0,818,6,1379
hashicorp/vault,Procedural_Static_Disallow_Managed,40522,4286,511,122,193,3460,2226,62,1998,3292472,412,1745
hashicorp/vault,Scripting_Dynamic_Allow_Managed,3325,414,2,12,18,382,122,1,291,286977,41,1715
hashicorp/vault,Scripting_Dynamic_Disallow_Managed,94,3,0,0,0,3,0,0,3,937,16,1704
helm/helm,Procedural_Static_Disallow_Managed,9362,2285,39,73,104,2069,1285,13,987,144369,304,1499
helm/helm,Scripting_Dynamic_Disallow_Managed,149,10,0,0,0,10,5,0,5,4268,12,176
home-assistant/home-assistant,Scripting_Dynamic_Allow_Managed,611,21,0,0,2,19,19,0,2,76006,8,1238
home-assistant/home-assistant,Scripting_Dynamic_Disallow_Managed,57788,18101,242,409,983,16467,10120,218,7763,1245997,1908,2275
hsoft/collapseos,Procedural_Static_Allow_Unmanaged,144,21,0,0,5,16,15,0,6,2281,2,239
hsoft/collapseos,Scripting_Dynamic_Allow_Managed,7,1,0,0,0,1,0,0,1,126,1,32
hsoft/collapseos,Scripting_Dynamic_Disallow_Managed,34,2,0,0,0,2,2,0,0,605,1,237
huggingface/transformers,Scripting_Dynamic_Disallow_Managed,4084,716,3,0,22,691,161,21,534,160459,199,406
huginn/huginn,Scripting_Dynamic_Allow_Managed,124,28,0,0,1,27,16,2,10,5534,15,1504
huginn/huginn,Scripting_Dynamic_Disallow_Managed,3835,783,4,25,97,657,438,21,324,59496,150,2464
ianyh/Amethyst,Functional_Static_Disallow_Managed,1086,174,16,3,17,138,99,0,75,19539,15,1461
ianyh/Amethyst,Procedural_Static_Allow_Unmanaged,800,166,11,2,32,121,102,1,63,9393,14,1446
ibireme/YYKit,Procedural_Static_Allow_Unmanaged,1086,195,0,26,24,145,55,36,104,83638,23,1464
ichord/At.js,Scripting_Dynamic_Allow_Managed,1084,372,4,0,6,362,188,7,177,32949,46,2253
icsharpcode/ILSpy,Procedural_Static_Disallow_Managed,29347,6492,44,415,98,5935,4355,63,2074,1498077,98,4448
idevz/vanilla,Procedural_Dynamic_Allow_Managed,1088,67,0,0,0,67,43,0,24,41237,7,821
iikira/BaiduPCS-Go,Procedural_Static_Disallow_Managed,2071,404,7,0,3,394,17,80,307,105322,13,731
iina/iina,Functional_Static_Disallow_Managed,3658,734,32,34,27,641,322,24,388,46672,56,1180
iina/iina,Procedural_Static_Allow_Unmanaged,395,9,0,2,0,7,5,0,4,34756,9,868
iina/iina,Scripting_Dynamic_Disallow_Managed,20,3,0,0,0,3,1,1,1,403,10,1166
iluwatar/java-design-patterns,Procedural_Static_Disallow_Managed,12075,3018,27,211,30,2750,1892,39,1087,153885,187,1947
imathis/octopress,Scripting_Dynamic_Allow_Managed,175,24,1,0,5,18,12,0,12,25704,13,1689
imathis/octopress,Scripting_Dynamic_Disallow_Managed,311,56,0,0,0,56,34,0,22,4468,46,2219
inconshreveable/ngrok,Procedural_Static_Disallow_Managed,614,134,0,16,10,108,58,1,75,8608,17,1135
inconshreveable/ngrok,Scripting_Dynamic_Allow_Managed,24,4,0,0,0,4,2,0,2,1496,2,291
infinitered/ignite,Procedural_Static_Allow_Unmanaged,14,0,0,0,0,0,0,0,0,204,4,372
infinitered/ignite,Procedural_Static_Disallow_Managed,29,4,0,0,0,4,2,0,2,140,8,372
infinitered/ignite,Scripting_Dynamic_Allow_Managed,20107,429,0,3,8,418,187,4,238,717826,51,1384
influxdata/influxdb,Procedural_Static_Allow_Unmanaged,114,29,0,1,2,26,8,0,21,8651,6,410
influxdata/influxdb,Procedural_Static_Disallow_Managed,40725,9596,148,495,741,8212,4490,178,4928,1459969,388,2431
influxdata/influxdb,Scripting_Dynamic_Allow_Managed,12618,1664,42,12,56,1554,621,20,1023,186036,61,2206
influxdata/influxdb,Scripting_Dynamic_Disallow_Managed,110,19,0,1,0,18,11,0,8,4047,25,2118
insidegui/WWDC,Functional_Static_Disallow_Managed,3067,537,11,5,32,489,359,6,172,54318,49,1686
insidegui/WWDC,Procedural_Static_Allow_Unmanaged,455,15,0,2,0,13,9,0,6,11674,7,1264
intel-analytics/BigDL,Functional_Static_Disallow_Managed,12624,4077,98,34,139,3806,2474,83,1520,368635,73,1182
intel-analytics/BigDL,Procedural_Static_Allow_Unmanaged,11,1,0,0,0,1,1,0,0,954,5,188
intel-analytics/BigDL,Procedural_Static_Disallow_Managed,253,7,1,0,0,6,4,1,2,218922,15,915
intel-analytics/BigDL,Scripting_Dynamic_Disallow_Managed,1055,337,5,0,13,319,192,9,136,36531,46,1027
ionic-team/ionic,Scripting_Dynamic_Allow_Managed,5887,698,2,1,9,686,205,14,479,411874,48,1687
irungentoo/toxcore,Procedural_Static_Allow_Unmanaged,6496,1861,32,30,254,1545,838,43,980,167180,157,1927
irungentoo/toxcore,Scripting_Dynamic_Disallow_Managed,13,3,0,0,0,3,0,1,2,581,6,942
istio/istio,Procedural_Static_Disallow_Managed,50522,11113,221,345,1118,9429,6983,192,3938,4433741,384,1110
istio/istio,Scripting_Dynamic_Allow_Managed,60,1,0,0,0,1,1,0,0,6820,24,855
istio/istio,Scripting_Dynamic_Disallow_Managed,598,132,0,4,5,123,106,0,26,42546,70,1037
jakubroztocil/httpie,Scripting_Dynamic_Disallow_Managed,1536,208,0,0,4,204,121,6,81,22195,65,2839
jaredpalmer/formik,Scripting_Dynamic_Allow_Managed,202,78,0,0,0,78,31,0,47,4860,40,881
jashkenas/coffeescript,Procedural_Static_Disallow_Managed,112,7,0,0,0,7,0,0,7,1284,1,14
jashkenas/coffeescript,Scripting_Dynamic_Allow_Managed,13139,3469,10,14,79,3366,1741,56,1672,234795,218,3630
jashkenas/coffeescript,Scripting_Dynamic_Disallow_Managed,544,64,2,1,0,61,33,0,31,33710,2,65
javan/whenever,Scripting_Dynamic_Disallow_Managed,525,78,0,1,0,77,44,2,32,7531,79,3768
jdg/MBProgressHUD,Procedural_Static_Allow_Unmanaged,515,117,0,7,9,101,48,8,61,8789,82,3695
jekyll/jekyll,Scripting_Dynamic_Allow_Managed,27,0,0,0,0,0,0,0,0,2418,8,2470
jekyll/jekyll,Scripting_Dynamic_Disallow_Managed,5667,819,3,3,20,793,365,19,435,50718,420,4068
jellyfin/jellyfin,Procedural_Static_Disallow_Managed,54147,6166,55,92,445,5574,2139,130,3897,992682,138,2706
jellyfin/jellyfin,Scripting_Dynamic_Allow_Managed,346,32,0,1,1,30,15,0,17,28823,6,637
jenkinsci/jenkins,Procedural_Static_Disallow_Managed,32685,8617,91,347,325,7854,3188,98,5331,538031,606,4783
jenkinsci/jenkins,Scripting_Dynamic_Allow_Managed,1207,355,7,2,13,333,139,3,213,145318,96,4760
jenkinsci/jenkins,Scripting_Dynamic_Disallow_Managed,44,4,0,0,0,4,0,0,4,1028,5,3551
jesseduffield/lazygit,Procedural_Static_Disallow_Managed,4949,327,3,5,3,316,120,21,186,583256,38,574
jessesquires/JSQMessagesViewController,Functional_Static_Disallow_Managed,52,6,0,0,5,1,2,0,4,1572,6,159
jessesquires/JSQMessagesViewController,Procedural_Static_Allow_Unmanaged,3265,496,16,0,19,461,207,18,271,39401,84,1484
jinzhu/gorm,Procedural_Static_Disallow_Managed,2903,592,6,21,18,547,218,2,372,41832,204,2233
jnordberg/wintersmith,Scripting_Dynamic_Allow_Managed,376,73,0,0,3,70,45,1,27,4705,31,2695
jonas/tig,Procedural_Static_Allow_Unmanaged,3468,876,3,8,102,763,631,13,232,88826,111,4975
jordansissel/fpm,Scripting_Dynamic_Disallow_Managed,1627,416,4,7,12,393,195,9,212,21162,243,3238
jquery/jquery,Procedural_Static_Disallow_Managed,16,2,0,0,0,2,2,0,0,0,4,1618
jquery/jquery,Scripting_Dynamic_Allow_Managed,10348,5044,53,21,244,4726,3006,199,1839,384301,338,5010
js2coffee/js2coffee,Scripting_Dynamic_Allow_Managed,620,69,0,0,0,69,13,1,55,8334,6,645
juliangarnier/anime,Scripting_Dynamic_Allow_Managed,683,156,4,0,0,152,43,9,104,24711,22,1122
junegunn/fzf,Procedural_Static_Disallow_Managed,1278,258,1,17,33,207,127,40,91,21307,20,1802
junegunn/fzf,Scripting_Dynamic_Disallow_Managed,221,60,1,4,2,53,39,0,21,4474,3,2213
kaminari/kaminari,Scripting_Dynamic_Disallow_Managed,1460,214,0,0,6,208,111,2,101,13365,106,3050
kanaka/mal,Functional_Static_Disallow_Managed,431,72,0,1,0,71,58,0,14,24976,9,1785
kanaka/mal,Procedural_Dynamic_Allow_Managed,81,44,0,1,12,31,13,0,31,2319,6,1648
kanaka/mal,Procedural_Static_Allow_Unmanaged,552,161,0,0,4,157,72,0,89,13328,9,1945
kanaka/mal,Procedural_Static_Disallow_Managed,421,132,0,2,1,129,42,0,90,15814,11,1947
kanaka/mal,Scripting_Dynamic_Allow_Managed,1164,361,1,5,1,354,167,4,190,16510,14,1953
kanaka/mal,Scripting_Dynamic_Disallow_Managed,484,160,0,3,2,155,91,0,69,10763,12,2029
kataras/iris,Procedural_Static_Allow_Unmanaged,36,2,0,0,0,2,2,0,0,1000,3,918
kataras/iris,Procedural_Static_Disallow_Managed,15692,1585,1,1,11,1572,1094,46,445,1702154,51,1269
kataras/iris,Scripting_Dynamic_Allow_Managed,203,26,0,0,0,26,20,6,0,89755,6,918
kdn251/interviews,Procedural_Static_Disallow_Managed,1662,315,1,0,0,314,13,0,302,32073,15,475
kennyledet/Algorithm-Implementations,Functional_Static_Disallow_Managed,79,1,0,0,0,1,1,0,0,1520,5,653
kennyledet/Algorithm-Implementations,Procedural_Dynamic_Allow_Managed,457,31,0,0,1,30,8,0,23,13987,8,1817
kennyledet/Algorithm-Implementations,Procedural_Static_Allow_Unmanaged,195,7,1,0,0,6,4,0,3,6702,46,1770
kennyledet/Algorithm-Implementations,Procedural_Static_Disallow_Managed,393,20,3,0,0,17,8,0,12,13656,46,1509
kennyledet/Algorithm-Implementations,Scripting_Dynamic_Allow_Managed,164,11,3,0,2,6,1,0,10,3487,27,1768
kennyledet/Algorithm-Implementations,Scripting_Dynamic_Disallow_Managed,251,29,8,0,0,21,9,0,20,4549,46,1397
keras-team/keras,Scripting_Dynamic_Disallow_Managed,8204,2978,31,19,51,2877,1124,92,1762,187581,826,1684
kevinzhow/PNChart,Procedural_Static_Allow_Unmanaged,1763,674,0,0,1,673,63,2,609,39919,82,1581
kickstarter/ios-oss,Functional_Static_Disallow_Managed,13260,4086,203,54,84,3745,2249,14,1823,336870,32,1411
kickstarter/ios-oss,Procedural_Static_Allow_Unmanaged,612,0,0,0,0,0,0,0,0,25405,5,1204
koreader/koreader,Procedural_Dynamic_Allow_Managed,9828,2985,64,33,239,2649,1624,66,1295,187621,123,2946
koreader/koreader,Procedural_Static_Allow_Unmanaged,464,93,1,4,6,82,66,0,27,17356,11,494
krzyzanowskim/CryptoSwift,Functional_Static_Disallow_Managed,3026,263,13,8,15,227,126,16,121,40768,64,1970
krzyzanowskim/CryptoSwift,Procedural_Static_Allow_Unmanaged,471,2,0,0,1,1,0,0,2,36766,4,1925
kubernetes/kubernetes,Procedural_Static_Allow_Unmanaged,52,7,0,0,0,7,0,1,6,245391,22,1701
kubernetes/kubernetes,Procedural_Static_Disallow_Managed,227882,24029,406,800,1410,21413,11303,523,12203,13924345,2419,2012
kubernetes/kubernetes,Scripting_Dynamic_Allow_Managed,1281,24,0,0,2,22,16,0,8,213374,47,1972
kubernetes/kubernetes,Scripting_Dynamic_Disallow_Managed,735,205,1,18,12,174,76,1,128,31487,94,1985
kubernetes/minikube,Procedural_Static_Allow_Unmanaged,72,0,0,0,0,0,0,0,0,8500,8,1173
kubernetes/minikube,Procedural_Static_Disallow_Managed,51404,1388,2,39,120,1227,688,7,693,6616767,259,1332
kubernetes/minikube,Scripting_Dynamic_Allow_Managed,108,0,0,0,0,0,0,0,0,6034,6,881
kubernetes/minikube,Scripting_Dynamic_Disallow_Managed,38,5,0,0,0,5,3,0,2,1003,14,1263
labstack/echo,Procedural_Static_Disallow_Managed,5115,795,0,1,7,787,670,21,104,359417,138,1715
labstack/echo,Scripting_Dynamic_Allow_Managed,50,2,0,0,0,2,1,0,1,154,3,792
lagom/lagom,Functional_Static_Disallow_Managed,6430,1140,14,13,8,1105,426,10,704,79175,71,1370
lagom/lagom,Procedural_Static_Disallow_Managed,2793,218,0,0,0,218,142,0,76,44363,41,1357
lampepfl/dotty,Functional_Static_Disallow_Managed,63100,13168,188,59,347,12574,7581,180,5407,807079,194,2561
lampepfl/dotty,Procedural_Static_Disallow_Managed,2045,508,1,1,3,503,401,0,107,13382,63,2095
lampepfl/dotty,Scripting_Dynamic_Allow_Managed,39,9,0,0,0,9,5,0,4,339,4,1251
laravel/framework,Scripting_Dynamic_Allow_Managed,36272,10430,103,82,411,9834,5201,332,4897,509565,2632,2525
laravel/laravel,Scripting_Dynamic_Allow_Managed,8964,1333,6,1,44,1282,600,6,727,163805,483,3105
laurilehmijoki/s3_website,Functional_Static_Disallow_Managed,560,82,3,0,21,58,28,0,54,8302,9,1195
