project,language,commits,bcommits,tins,devs,max_commit_age
kataras/iris,JavaScript,124,16,85477,6,880
kataras/iris,Perl,79,10,4278,3,918
kataras/iris,TypeScript,25,1,1113,3,1049
kdn251/interviews,Java,1662,315,32073,15,475
kennyledet/Algorithm-Implementations,C,96,5,3180,29,1189
kennyledet/Algorithm-Implementations,C#,64,4,2910,10,1473
kennyledet/Algorithm-Implementations,C++,68,2,2359,25,1770
kennyledet/Algorithm-Implementations,Go,114,8,4136,7,1188
kennyledet/Algorithm-Implementations,Java,215,8,6610,35,1189
kennyledet/Algorithm-Implementations,JavaScript,90,3,1618,18,1768
kennyledet/Algorithm-Implementations,Lua,457,31,13987,8,1817
kennyledet/Algorithm-Implementations,Objective-C,31,0,1163,4,582
kennyledet/Algorithm-Implementations,PHP,58,5,1401,6,713
kennyledet/Algorithm-Implementations,Perl,16,3,468,4,1167
kennyledet/Algorithm-Implementations,Python,176,28,3152,39,1397
kennyledet/Algorithm-Implementations,Ruby,75,1,1397,11,1327
kennyledet/Algorithm-Implementations,Scala,79,1,1520,5,653
keras-team/keras,Python,8204,2978,187581,826,1684
kevinzhow/PNChart,C,699,262,5894,41,1581
kevinzhow/PNChart,Objective-C,1064,412,34025,78,1581
kickstarter/ios-oss,C,612,0,25405,5,1204
kickstarter/ios-oss,Swift,13260,4086,336870,32,1411
koreader/koreader,C,416,86,16480,11,494
koreader/koreader,C++,48,7,876,4,360
koreader/koreader,Lua,9828,2985,187621,123,2946
krzyzanowskim/CryptoSwift,C,471,2,36766,4,1925
krzyzanowskim/CryptoSwift,Swift,3026,263,40768,64,1970
kubernetes/kubernetes,C,52,7,245391,22,1701
kubernetes/kubernetes,Go,227812,24013,13923461,2415,2012
kubernetes/kubernetes,Java,70,16,884,15,1148
kubernetes/kubernetes,JavaScript,1127,11,209313,35,1678
kubernetes/kubernetes,PHP,16,4,124,9,1373
kubernetes/kubernetes,Perl,138,9,3937,13,1414
kubernetes/kubernetes,Python,735,205,31487,94,1985
kubernetes/minikube,C,72,0,8500,8,1173
kubernetes/minikube,Go,51404,1388,6616767,259,1332
kubernetes/minikube,Perl,108,0,6034,6,881
kubernetes/minikube,Python,38,5,1003,14,1263
labstack/echo,Go,5115,795,359417,138,1715
labstack/echo,JavaScript,50,2,154,3,792
lagom/lagom,Java,2793,218,44363,41,1357
lagom/lagom,Scala,6430,1140,79175,71,1370
lampepfl/dotty,Java,2045,508,13382,63,2095
lampepfl/dotty,JavaScript,39,9,339,4,1251
lampepfl/dotty,Scala,63100,13168,807079,194,2561
lampepfl/dotty,TypeScript,121,27,3670,7,892
laravel/framework,JavaScript,36,9,326,11,882
laravel/framework,PHP,36236,10421,509239,2628,2525
laravel/laravel,JavaScript,148,20,6284,36,2798
laravel/laravel,PHP,8816,1313,157521,457,3105
laurilehmijoki/s3_website,Ruby,456,48,3709,22,2384
laurilehmijoki/s3_website,Scala,560,82,8302,9,1195
leafo/moonscript,Lua,1185,161,24301,15,2541
libgdx/libgdx,C,7863,327,1463325,33,3531
libgdx/libgdx,C#,50,16,1002,4,489
libgdx/libgdx,C++,2294,310,866355,32,3456
libgdx/libgdx,Java,46938,10989,1373416,618,3557
libgdx/libgdx,JavaScript,35,4,4612,6,2060
libgdx/libgdx,Lua,116,3,2475,6,1874
libgdx/libgdx,Objective-C,32,2,2640,6,1583
libgdx/libgdx,Python,113,6,34154,6,2980
libuv/libuv,C,10206,2980,253377,355,3182
libuv/libuv,Python,24,8,576,8,2729
lihaoyi/Ammonite,Java,8,1,239,3,1166
lihaoyi/Ammonite,Python,15,4,155,2,306
lihaoyi/Ammonite,Scala,5620,927,72538,83,1746
linkerd/linkerd,JavaScript,461,169,20705,15,1384
linkerd/linkerd,Scala,4944,1180,103545,85,1422
linnovate/mean,JavaScript,2463,347,98080,142,1952
linnovate/mean,TypeScript,664,66,7479,11,901
localstack/localstack,Java,285,54,10646,35,1209
localstack/localstack,JavaScript,14,10,34,3,880
localstack/localstack,Python,2001,711,30207,167,1211
luakit/luakit,C,2871,560,39437,41,3390
luakit/luakit,JavaScript,13,2,435,4,2615
luakit/luakit,Lua,4167,726,63798,74,3455
luarocks/luarocks,C,23,3,1650,8,3305
luarocks/luarocks,Lua,3479,719,51754,71,3887
luvit/luvit,C,1418,140,121019,24,1139
luvit/luvit,Lua,3469,565,73304,72,2953
luvit/luvit,Python,431,8,31647,6,1035
mac-cain13/R.swift,Swift,1655,180,18506,32,1811
magicalpanda/MagicalRecord,C,2448,160,57532,46,3250
magicalpanda/MagicalRecord,Objective-C,1684,308,27873,71,3250
magicalpanda/MagicalRecord,Ruby,10,0,448,3,1310
major/MySQLTuner-perl,Perl,530,171,17486,99,4521
mame/quine-relay,Ruby,580,64,11409,10,2300
marcuswestin/WebViewJavascriptBridge,C,143,20,885,17,2264
marcuswestin/WebViewJavascriptBridge,Objective-C,297,64,4374,39,2264
marmelab/react-admin,JavaScript,12023,1926,288006,184,1253
marmelab/react-admin,TypeScript,2468,438,40538,48,398
mas-cli/mas,C,602,14,13234,5,1335
mas-cli/mas,Ruby,52,0,295,5,436
mas-cli/mas,Swift,1263,78,55221,15,1335
matomo-org/matomo,Java,60,10,2851,13,3907
matomo-org/matomo,JavaScript,10078,2274,831676,107,4522
matomo-org/matomo,PHP,65433,18621,1845401,227,4522
matomo-org/matomo,Python,228,75,4169,28,1098
matryer/bitbar,C,80,4,374,11,2077
matryer/bitbar,Objective-C,276,45,4542,25,2077
matryer/bitbar,Python,30,0,680,9,1
mattermost/mattermost-server,C,42,8,273610,7,1461
mattermost/mattermost-server,Go,41533,8293,3621611,414,1640
mattermost/mattermost-server,JavaScript,15104,4725,358965,153,1522
mattermost/mattermost-server,Perl,72,3,3771,3,1082
memcached/memcached,C,2030,677,43833,150,6012
memcached/memcached,Perl,51,8,814,11,5677
mesos/chronos,JavaScript,758,48,116191,17,1443
mesos/chronos,Ruby,33,11,849,9,1003
mesos/chronos,Scala,1306,282,22022,75,2002
mesosphere/marathon,Java,169,34,125934,49,2242
mesosphere/marathon,JavaScript,1288,141,286457,27,1657
mesosphere/marathon,Python,853,96,32902,32,1749
mesosphere/marathon,Scala,19850,5660,329112,155,2339
meteor/meteor,C,208,0,8914,3,1004
meteor/meteor,C#,33,2,1138,4,1086
meteor/meteor,C++,58,7,10785,6,1004
meteor/meteor,CoffeeScript,119,4,2561,17,2443
meteor/meteor,JavaScript,55761,6292,1033887,431,2940
meteor/meteor,Python,13,1,729,5,404
meteor/meteor,Ruby,16,3,112,5,1072
meteor/meteor,TypeScript,70,12,2024,7,220
mewmew/dissection,Assembly,216,7,10801,2,1608
michaelficarra/CoffeeScriptRedux,CoffeeScript,753,231,14509,25,1770
michaelficarra/CoffeeScriptRedux,JavaScript,973,265,104486,20,1769
micropython/micropython,C,24916,2872,1496632,236,2256
micropython/micropython,Python,3971,424,70279,110,2168
microsoft/CNTK,C,13653,3199,548612,160,1783
microsoft/CNTK,C#,470,59,15792,26,1276
microsoft/CNTK,C++,11924,3095,556266,162,1788
microsoft/CNTK,Java,10,3,340,6,406
microsoft/CNTK,Objective-C,30,6,743,7,716
microsoft/CNTK,Python,11021,2048,300376,140,1608
microsoft/TypeScript,JavaScript,61182,4651,6766245,257,1979
microsoft/TypeScript,TypeScript,75009,12091,2908038,514,1980
microsoft/VFSForGit,C,259,49,4436,9,902
microsoft/VFSForGit,C#,5882,778,131035,29,966
microsoft/VFSForGit,C++,678,174,17686,11,939
microsoft/VFSForGit,Objective-C,147,31,7355,5,232
microsoft/calculator,C,750,324,18904,27,315
microsoft/calculator,C#,115,1,4193,8,262
microsoft/calculator,C++,1147,437,66964,39,315
microsoft/react-native-windows,C,1956,706,62692,51,1201
microsoft/react-native-windows,C#,6224,3388,117330,71,1452
microsoft/react-native-windows,C++,2271,845,142525,58,1204
microsoft/react-native-windows,JavaScript,1963,974,68672,64,1448
microsoft/react-native-windows,TypeScript,472,205,16790,26,285
microsoft/terminal,C,770,144,22939,53,456
microsoft/terminal,C#,238,46,12162,27,843
microsoft/terminal,C++,2610,703,208944,88,455
microsoft/vscode,C++,11,4,90,2,1329
microsoft/vscode,JavaScript,3747,934,346089,126,1489
microsoft/vscode,TypeScript,143001,36328,2231449,1033,1489
milessabin/shapeless,Scala,3091,384,76973,129,3005
minio/minio,Assembly,419,1,30282,3,514
minio/minio,C,490,19,28225,6,1614
minio/minio,Go,26980,6348,1443938,152,1867
minio/minio,JavaScript,914,217,19241,16,1612
moby/moby,C,111,12,163486,26,1878
moby/moby,Go,68954,12564,2499663,1279,2509
moby/moby,JavaScript,56,3,3986,7,693
moby/moby,Python,90,18,2195,25,1315
mockery/mockery,PHP,2175,518,32334,141,3928
mojolicious/mojo,JavaScript,144,0,445,1,2949
mojolicious/mojo,Perl,21560,3565,208334,139,4061
moment/moment,JavaScript,11200,1686,655018,524,3020
moment/moment,TypeScript,53,17,1829,27,1095
mongodb/mongo,Assembly,11,0,736,8,2789
mongodb/mongo,C,78306,6104,4806790,453,4427
mongodb/mongo,C++,177410,13110,10710639,594,4427
mongodb/mongo,Go,5925,44,1154790,5,1110
mongodb/mongo,Java,301,63,13150,12,3931
mongodb/mongo,JavaScript,41838,4676,1093864,424,4398
mongodb/mongo,PHP,63,7,1139,4,561
mongodb/mongo,Perl,59,0,5503,13,4213
mongodb/mongo,Python,8104,1030,329100,199,3778
mongodb/mongo,Ruby,17,2,418,5,1067
mono/mono,C,69266,18847,1797833,453,6749
mono/mono,C#,290639,54628,13692823,1070,6754
mono/mono,C++,214,74,4529,27,5495
mono/mono,Java,10,4,263,3,4465
mono/mono,JavaScript,5833,118,628265,37,6493
mono/mono,Objective-C,29,6,858,8,759
mono/mono,Perl,269,33,6574,47,6702
mono/mono,Python,380,116,9419,47,3966
mono/mono,Ruby,41,6,2024,7,4221
morrisjs/morris.js,CoffeeScript,370,74,7157,36,1111
morrisjs/morris.js,JavaScript,392,89,22733,32,975
mozilla-mobile/firefox-ios,C,3143,1943,1253937,25,1681
mozilla-mobile/firefox-ios,JavaScript,314,274,9004,26,1813
mozilla-mobile/firefox-ios,Objective-C,483,63,35447,14,1667
mozilla-mobile/firefox-ios,Python,108,66,5867,12,1648
mozilla-mobile/firefox-ios,Ruby,11,1,405,4,1670
mozilla-mobile/firefox-ios,Swift,16568,12228,307804,175,1862
mozilla/DeepSpeech,C,678,30,141079,10,1016
mozilla/DeepSpeech,C#,119,14,2286,6,360
mozilla/DeepSpeech,C++,913,49,177460,10,994
mozilla/DeepSpeech,Java,32,9,817,2,391
mozilla/DeepSpeech,JavaScript,79,25,833,10,1146
mozilla/DeepSpeech,Python,1074,371,43748,66,1286
mperham/sidekiq,JavaScript,210,26,15321,29,2731
mperham/sidekiq,Ruby,3604,849,35897,304,2866
mpv-player/mpv,C,74001,17102,1530818,398,6863
mpv-player/mpv,C++,227,56,8034,24,5699
mpv-player/mpv,JavaScript,14,1,664,3,1812
mpv-player/mpv,Lua,537,143,11782,58,2266
mpv-player/mpv,Objective-C,795,328,18767,44,5139
mpv-player/mpv,Perl,97,17,3520,23,6127
mpv-player/mpv,Python,737,147,6482,84,6693
mpv-player/mpv,Swift,121,54,3833,2,594
mrdoob/three.js,C,55,6,6785,6,2499
mrdoob/three.js,Java,18,1,0,5,2561
mrdoob/three.js,JavaScript,45179,7136,5856848,1064,3518
mrdoob/three.js,Python,1190,272,63302,125,2973
mrdoob/three.js,TypeScript,2608,642,50150,125,1061
mui-org/material-ui,JavaScript,80610,26160,696584,1274,1940
mui-org/material-ui,TypeScript,5455,1131,85391,444,862
munin-monitoring/munin,Java,396,58,5773,7,3291
munin-monitoring/munin,JavaScript,318,82,24644,12,3192
munin-monitoring/munin,Perl,2465,643,37586,77,5801
munin-monitoring/munin,Python,42,4,790,7,3785
mxcl/PromiseKit,C,388,107,4652,25,1954
mxcl/PromiseKit,Objective-C,496,170,10444,35,1910
mxcl/PromiseKit,Ruby,20,4,189,2,340
mxcl/PromiseKit,Swift,1429,422,26435,67,1967
nagadomi/waifu2x,JavaScript,16,2,478,2,322
nagadomi/waifu2x,Lua,740,133,13057,5,1655
nestjs/nest,JavaScript,3069,92,57007,16,954
nestjs/nest,TypeScript,12599,1190,139849,133,1054
netdata/netdata,C,7094,2715,255383,74,2365
netdata/netdata,JavaScript,1132,369,86019,67,2361
netdata/netdata,Python,1983,767,64235,101,1277
netty/netty,C,284,83,9374,28,2118
netty/netty,Java,43138,11005,915776,553,4142
nextcloud/server,JavaScript,69353,3324,1259234,328,3548
nextcloud/server,PHP,114251,16879,2318594,756,3562
nextcloud/server,Perl,35,6,353,11,2258
nginx/nginx,C,16759,4569,353644,64,6320
nginx/nginx,Perl,255,9,553,7,4241
nicklockwood/iCarousel,C,548,28,13273,6,2029
nicklockwood/iCarousel,Objective-C,787,100,49685,16,2029
nicolaskruchten/pivottable,CoffeeScript,312,79,6436,33,2067
nicolaskruchten/pivottable,JavaScript,676,167,14502,13,2069
nikic/PHP-Parser,PHP,4926,712,140640,67,3118
niklasvh/html2canvas,JavaScript,1866,572,170958,38,2993
niklasvh/html2canvas,TypeScript,166,150,8694,6,226
ninjaprox/NVActivityIndicatorView,C,10,0,97,2,1198
ninjaprox/NVActivityIndicatorView,Swift,873,80,12363,35,1524
nlohmann/json,C,144,23,17627,7,2315
nlohmann/json,C++,5574,1250,371843,108,2328
nlohmann/json,Python,29,2,9317,3,1941
nodejs/node,Assembly,658,233,524843,10,2641
nodejs/node,C,55092,7979,3723770,337,3944
nodejs/node,C#,15,1,1893,7,1365
nodejs/node,C++,49932,5070,5144913,562,3946
nodejs/node,CoffeeScript,63,4,669,9,2625
nodejs/node,JavaScript,115881,17343,3886667,2296,3943
nodejs/node,Lua,76,0,12375,9,3053
nodejs/node,Objective-C,117,0,693,3,1219
nodejs/node,Perl,1941,543,1335092,16,2946
nodejs/node,Python,7574,775,462462,142,3893
nodejs/node,Ruby,30,3,430,4,2522
nodejs/node,TypeScript,4142,11,78245,22,1604
noflo/noflo,CoffeeScript,2617,572,43362,25,2961
noflo/noflo,JavaScript,33,0,910,1,2241
nostra13/Android-Universal-Image-Loader,Java,1912,180,34138,32,2689
nothings/stb,C,1388,422,120433,153,1904
nothings/stb,C++,106,23,2485,4,1904
nsqio/nsq,Go,3701,512,70175,96,2760
nsqio/nsq,JavaScript,83,20,1731,6,1513
nsqio/nsq,Python,27,8,1157,2,1240
numpy/numpy,C,10559,3631,1114797,303,6550
numpy/numpy,C++,408,7,76975,9,6372
numpy/numpy,JavaScript,9,1,1072,5,3918
numpy/numpy,Python,26211,8637,607846,949,6560
nvbn/thefuck,Python,2722,472,26112,126,1673
nwjs/nw.js,C,1843,558,21332,30,2920
nwjs/nw.js,C++,2773,1078,68746,42,2907
nwjs/nw.js,Java,18,0,551,5,1302
nwjs/nw.js,JavaScript,1936,263,138797,37,2907
nwjs/nw.js,Objective-C,350,150,8351,27,2676
nwjs/nw.js,Python,694,138,12738,24,2528
obsproject/obs-studio,C,8453,2177,378780,186,2261
obsproject/obs-studio,C++,4536,1233,121148,155,2259
obsproject/obs-studio,Lua,101,1,118278,5,2017
obsproject/obs-studio,Objective-C,236,50,8676,17,2161
obsproject/obs-studio,Python,17,3,901,4,1699
ocornut/imgui,C,2541,414,62239,84,1946
ocornut/imgui,C++,6297,1685,112615,172,1947
ocornut/imgui,Objective-C,114,34,3742,15,1633
octalmage/robotjs,C,198,41,3785,27,1841
octalmage/robotjs,C++,140,41,2246,26,1912
octalmage/robotjs,JavaScript,71,8,1019,4,1274
octobercms/october,JavaScript,4311,1144,671050,100,1919
octobercms/october,PHP,7373,1447,155183,351,1952
omniauth/omniauth,Ruby,2088,215,21782,172,3519
onevcat/Kingfisher,C,234,0,862,1,1593
onevcat/Kingfisher,Objective-C,86,0,1267,1,1589
onevcat/Kingfisher,Swift,2934,414,46267,132,1707
onivim/oni,JavaScript,358,125,294817,22,676
onivim/oni,TypeScript,5642,3037,121279,70,849
openai/gym,Python,1977,569,29152,199,1317
opencv/opencv,C,6898,1436,1010565,219,3494
opencv/opencv,C++,50200,12485,2577518,1190,3500
opencv/opencv,Java,3103,912,110755,83,3368
opencv/opencv,JavaScript,74,24,5525,24,3311
opencv/opencv,Objective-C,300,107,14693,64,3367
opencv/opencv,Python,3887,805,107526,196,3494
opencv/opencv,Scala,22,2,183,7,960
openfaas/faas,Go,14263,124,2325014,39,1082
openfaas/faas,JavaScript,84,16,2006,15,1067
openfaas/faas,Python,26,2,1324,5,893
openssl/openssl,Assembly,49,0,20216,8,7290
openssl/openssl,C,60484,12499,1697687,501,7658
openssl/openssl,C++,188,26,25244,16,7605
openssl/openssl,Perl,5429,1099,289592,83,7653
openssl/openssl,Python,8,0,79,6,1654
openwrt/luci,C,1184,180,98637,15,4212
openwrt/luci,JavaScript,784,213,54436,42,4268
openwrt/luci,Lua,8919,1894,167787,180,4291
openwrt/luci,Perl,59,9,2718,6,3858
orlabs/orange,JavaScript,269,22,16778,10,1337
orlabs/orange,Lua,689,89,24685,24,1340
ornicar/lila,C#,149,10,1227,2,1838
ornicar/lila,Java,263,23,27525,6,2683
ornicar/lila,JavaScript,11404,1886,231369,51,2763
ornicar/lila,Perl,225,11,1847,2,1838
ornicar/lila,Python,37,6,378,5,2726
ornicar/lila,Scala,48699,4155,369747,85,2847
ornicar/lila,Swift,194,12,1450,4,1838
ornicar/lila,TypeScript,4192,650,43573,27,1021
osquery/osquery,C,3352,617,101707,96,1949
osquery/osquery,C++,11373,2345,219256,216,1956
osquery/osquery,JavaScript,146,0,23307,3,1246
osquery/osquery,Objective-C,292,73,6852,42,1878
osquery/osquery,Python,571,123,9826,54,1958
osquery/osquery,Ruby,636,17,7236,19,1160
overtrue/wechat,PHP,6580,2139,98484,123,1457
p0pr0ck5/lua-resty-waf,Lua,912,147,21481,7,1243
p0pr0ck5/lua-resty-waf,Perl,94,29,2405,1,338
palantir/blueprint,JavaScript,563,154,462682,20,1128
palantir/blueprint,TypeScript,7503,1993,117368,169,1139
pallets/flask,Python,3167,663,47261,335,3519
pandas-dev/pandas,C,913,303,159858,85,3779
pandas-dev/pandas,Python,54414,15554,1475851,1859,3780
paradoxxxzero/butterfly,CoffeeScript,243,87,13595,3,1734
paradoxxxzero/butterfly,JavaScript,371,155,25404,5,1734
paradoxxxzero/butterfly,Python,389,151,4731,15,1734
parcel-bundler/parcel,JavaScript,7167,1382,124665,205,857
parcel-bundler/parcel,TypeScript,60,14,304,7,709
pbatard/rufus,C,3549,1595,133064,27,2927
pbatard/rufus,C#,14,5,1669,1,364
phacility/phabricator,JavaScript,2574,800,64228,53,3208
phacility/phabricator,PHP,75966,14303,1235187,323,3248
phalcon/cphalcon,C,60473,11351,28620846,93,2828
phalcon/cphalcon,JavaScript,980,6,950015,9,2558
phalcon/cphalcon,PHP,47134,2728,1966438,178,2821
phanan/koel,JavaScript,1250,130,25476,8,1354
phanan/koel,PHP,2403,707,29765,27,1450
philc/vimium,CoffeeScript,3672,821,38167,71,2733
philc/vimium,JavaScript,727,166,11549,58,1221
php/php-src,C,169810,49610,10415284,896,7552
php/php-src,C++,793,213,26308,56,7005
php/php-src,Java,181,13,3839,11,5155
php/php-src,JavaScript,482,118,17805,37,5845
php/php-src,PHP,5167,1110,122144,208,7552
php/php-src,Perl,34,0,1107,8,7128
pingcap/tidb,Go,45651,5773,1765169,425,1557
pjreddie/darknet,C,2620,455,73621,9,1772
pjreddie/darknet,Python,21,1,454,1,969
pkulchenko/ZeroBraneStudio,C,16,4,728,3,2456
pkulchenko/ZeroBraneStudio,Lua,6658,1563,309938,58,4100
plataformatec/devise,Ruby,6405,845,46968,495,3724
plataformatec/simple_form,Ruby,3065,433,26592,192,3621
playframework/playframework,CoffeeScript,37,6,1765,10,1840
playframework/playframework,Java,8770,2017,160717,201,2997
playframework/playframework,JavaScript,218,34,54509,31,2877
playframework/playframework,Scala,23517,4934,352400,532,3011
pocorall/scaloid,Java,9,2,285,4,852
pocorall/scaloid,Scala,1001,138,60451,17,2128
polynote/polynote,JavaScript,494,99,11903,3,287
polynote/polynote,Python,23,6,26764,2,176
polynote/polynote,Scala,1885,585,39024,6,324
polynote/polynote,TypeScript,266,43,6007,5,80
pooler/cpuminer,C,429,52,14266,14,2967
pret/pokecrystal,Assembly,45151,3156,1567291,49,2829
pret/pokecrystal,C,50,29,2084,7,905
pret/pokecrystal,Python,775,148,41961,14,2651
pret/pokered,Assembly,16674,1590,747817,50,3609
pret/pokered,C,52,0,1822,5,2576
pret/pokered,C++,57,2,1972,2,628
pret/pokered,Python,302,43,12967,9,2555
prettier/prettier,JavaScript,10637,2756,264786,253,1105
prettier/prettier,TypeScript,433,265,5981,31,992
prisma/prisma,C,15,4,88,2,281
prisma/prisma,Java,128,30,1620,4,666
prisma/prisma,JavaScript,513,125,19093,17,656
prisma/prisma,Ruby,141,18,1766,3,113
prisma/prisma,Scala,18938,1659,354438,17,746
prisma/prisma,TypeScript,6618,1610,148179,48,888
project-everest/hacl-star,Assembly,2346,0,143365,5,279
project-everest/hacl-star,C,9145,143,593705,19,719
prometheus/prometheus,Go,24408,3222,3061612,441,2573
prometheus/prometheus,JavaScript,273,73,35714,56,2485
prometheus/prometheus,Perl,40,9,2220,6,1161
prometheus/prometheus,TypeScript,239,38,8496,8,53
protocolbuffers/protobuf,C,6071,1009,394942,256,4146
protocolbuffers/protobuf,C#,6206,869,775523,48,4127
protocolbuffers/protobuf,C++,7121,981,473653,234,4164
protocolbuffers/protobuf,Go,22,7,702,5,1188
protocolbuffers/protobuf,Java,2776,183,241143,89,4128
protocolbuffers/protobuf,JavaScript,395,52,30238,25,1434
protocolbuffers/protobuf,Objective-C,563,143,93184,25,1684
protocolbuffers/protobuf,PHP,956,243,44571,28,1325
protocolbuffers/protobuf,Python,1348,128,55965,73,4142
protocolbuffers/protobuf,Ruby,258,72,9842,38,1807
protocolbuffers/protobuf,Swift,7,2,630,2,521
proxyee-down-org/proxyee-down,Java,1129,20,22874,4,701
proxyee-down-org/proxyee-down,JavaScript,261,15,5006,11,686
psf/requests,Python,4486,803,107237,479,3175
pubkey/rxdb,JavaScript,4845,629,579620,34,1099
pubkey/rxdb,TypeScript,1116,447,18123,28,1094
puppeteer/puppeteer,JavaScript,3450,1179,103390,130,944
puppeteer/puppeteer,TypeScript,19,7,433,4,777
pypa/pipenv,C,148,0,41187,3,722
pypa/pipenv,Python,10555,1707,715489,233,960
python/cpython,Assembly,23,3,4430,6,4833
python/cpython,C,55898,14908,3656646,502,10648
python/cpython,C++,104,31,9324,13,7741
python/cpython,JavaScript,43,6,763,12,2919
python/cpython,Objective-C,70,25,2069,8,5153
python/cpython,Perl,42,5,2154,4,3465
python/cpython,Python,95403,22959,2655338,845,10650
pytorch/pytorch,C,28445,4280,783295,842,2877
pytorch/pytorch,C++,33304,5259,899743,834,1629
pytorch/pytorch,Java,55,6,3002,3,95
pytorch/pytorch,Lua,120,24,2496,19,2151
pytorch/pytorch,Objective-C,168,43,17880,18,956
pytorch/pytorch,Python,26558,6012,660312,1260,1629
pytorch/pytorch,Ruby,14,2,248,4,71
radareorg/radare2,Assembly,12,10,94,2,2501
radareorg/radare2,C,58109,29457,1577621,813,3960
radareorg/radare2,Go,7,5,59,2,1194
radareorg/radare2,JavaScript,775,253,149967,23,3117
radareorg/radare2,Lua,23,3,878,2,1721
radareorg/radare2,Perl,41,15,647,6,2727
radareorg/radare2,Python,201,78,3419,18,3901
radareorg/radare2,Ruby,22,4,300,2,1772
rails/rails,CoffeeScript,283,41,2397,43,3090
rails/rails,JavaScript,913,136,99012,91,5334
rails/rails,Lua,21,3,224,7,1763
rails/rails,Ruby,128063,22459,1233639,4077,5495
railsware/upterm,JavaScript,314,43,5061,11,852
railsware/upterm,TypeScript,4716,830,203833,51,1265
ramsey/uuid,PHP,1051,170,15729,53,2710
rapid7/metasploit-framework,Assembly,325,39,16657,35,4537
rapid7/metasploit-framework,C,8061,294,732743,59,5292
rapid7/metasploit-framework,C++,595,22,221896,27,4933
rapid7/metasploit-framework,Go,31,10,1927,3,62
rapid7/metasploit-framework,Java,2181,314,64077,32,3931
rapid7/metasploit-framework,JavaScript,1140,49,185155,30,4536
rapid7/metasploit-framework,Lua,28,2,295,6,2299
rapid7/metasploit-framework,Objective-C,57,14,7300,4,3700
rapid7/metasploit-framework,PHP,98,19,4753,11,2817
rapid7/metasploit-framework,Perl,106,21,3216,8,4221
rapid7/metasploit-framework,Python,315,68,17612,42,3727
rapid7/metasploit-framework,Ruby,144550,29205,4305138,1122,5372
raywenderlich/swift-algorithm-club,Swift,2312,539,70822,229,1382
rclone/rclone,C,16,1,538,1,1105
rclone/rclone,Go,44425,4523,10436017,255,2574
rclone/rclone,Perl,53,12,2574,1,910
rclone/rclone,Python,87,15,1915,13,1556
react-dnd/react-dnd,JavaScript,2725,159,44551,50,1875
react-dnd/react-dnd,TypeScript,2609,1053,23241,35,583
react-native-community/react-native-maps,C,292,69,4351,66,1393
react-native-community/react-native-maps,Java,439,98,12908,98,1373
react-native-community/react-native-maps,JavaScript,772,209,20227,113,1404
react-native-community/react-native-maps,Objective-C,524,163,12663,124,1406
react-native-community/react-native-maps,TypeScript,40,11,1305,36,798
react-navigation/react-navigation,Java,22,3,85,6,824
react-navigation/react-navigation,JavaScript,2386,898,161464,222,972
react-navigation/react-navigation,TypeScript,124,35,2408,28,327
reactiveui/ReactiveUI,C#,9944,1976,282729,148,3464
reactiveui/ReactiveUI,Ruby,14,0,192,2,1941
realm/SwiftLint,Swift,8462,1753,85464,212,1662
realm/realm-cocoa,C,4261,575,78233,66,2768
realm/realm-cocoa,C++,1620,237,53314,38,2768
realm/realm-cocoa,JavaScript,14,1,1775,5,2720
realm/realm-cocoa,Objective-C,9766,1684,187388,86,2768
realm/realm-cocoa,Python,49,7,1505,9,2749
realm/realm-cocoa,Ruby,92,13,716,7,1952
realm/realm-cocoa,Swift,4477,771,99124,55,1986
recharts/recharts,JavaScript,4689,1520,203705,144,1561
recharts/recharts,TypeScript,271,152,5159,3,46
reduxjs/redux,JavaScript,2416,454,26162,226,1639
reduxjs/redux,TypeScript,184,46,3830,30,1377
resque/resque,JavaScript,13,0,217,8,2483
resque/resque,Ruby,1418,289,13545,195,3435
restsharp/RestSharp,C#,3354,925,119197,238,3574
rethinkdb/rethinkdb,C,2990,869,779111,24,2609
rethinkdb/rethinkdb,C++,70381,13479,2411386,112,3652
rethinkdb/rethinkdb,CoffeeScript,3866,1095,88234,56,2116
rethinkdb/rethinkdb,Java,4340,360,78542,24,1883
rethinkdb/rethinkdb,JavaScript,9285,2836,855290,35,2552
rethinkdb/rethinkdb,Perl,136,15,14971,10,2637
rethinkdb/rethinkdb,Python,7905,1728,311379,98,3491
rethinkdb/rethinkdb,Ruby,1716,333,43948,39,1908
robb/Cartography,Swift,752,91,12151,35,1805
robbiehanson/CocoaAsyncSocket,C,271,57,8130,20,4016
robbiehanson/CocoaAsyncSocket,Objective-C,570,206,53036,45,4016
robbiehanson/CocoaAsyncSocket,Swift,13,1,789,4,771
robertdavidgraham/masscan,C,2134,308,80451,32,2247
roots/sage,JavaScript,651,75,16170,60,2846
roots/sage,PHP,1744,319,16210,130,2851
rsnapshot/rsnapshot,Perl,514,110,18695,26,5745
rtyley/bfg-repo-cleaner,Scala,634,102,7570,5,1847
rubocop-hq/rubocop,Ruby,27525,9036,382239,639,2790
ruby-grape/grape,Ruby,3483,1080,48931,286,3416
ruby/ruby,Assembly,12,1,160,2,7
ruby/ruby,C,52825,11773,1660574,177,7999
ruby/ruby,C++,18,8,1470,3,77
ruby/ruby,JavaScript,30,0,1007,6,3435
ruby/ruby,Python,41,8,586,12,7409
ruby/ruby,Ruby,75242,11775,2000076,219,7999
