project,language,commits,bcommits,tins,devs,max_commit_age
OpenRA/OpenRA,TypeScript,25,3,11227,3,1236
Openarl/PathOfBuilding,Lua,4619,1351,506990,35,1315
PHPMailer/PHPMailer,JavaScript,78,1,7352,5,2799
PHPMailer/PHPMailer,PHP,1531,299,36658,168,4045
PHPOffice/PHPExcel,PHP,4471,1038,284133,66,2225
PerfectlySoft/Perfect,C,3175,12,412983,4,231
PerfectlySoft/Perfect,C++,23,2,1137,1,169
PerfectlySoft/Perfect,Swift,1625,123,45778,37,1254
PhilJay/MPAndroidChart,Java,7343,1740,144887,63,1827
PowerShell/PowerShell,C,365,50,6022,19,1327
PowerShell/PowerShell,C#,22375,3772,1343590,205,1656
PowerShell/PowerShell,C++,697,88,18171,37,1327
PowerShell/PowerShell,JavaScript,7,3,112,1,839
Quick/Quick,C,206,20,1128,27,1780
Quick/Quick,Objective-C,350,39,2449,33,1929
Quick/Quick,Swift,1530,150,13234,60,1960
ReactTraining/react-router,JavaScript,8671,1552,576300,291,1990
ReactiveCocoa/ReactiveCocoa,C,2872,173,17929,73,2839
ReactiveCocoa/ReactiveCocoa,Objective-C,5297,523,72551,89,2819
ReactiveCocoa/ReactiveCocoa,Swift,5263,505,106572,141,2000
ReactiveX/RxJava,Java,34234,10046,1471601,231,2808
ReactiveX/RxJava,Scala,1049,119,22463,24,579
ReactiveX/RxSwift,C,153,27,1574,11,1459
ReactiveX/RxSwift,JavaScript,82,19,986,2,386
ReactiveX/RxSwift,Objective-C,86,12,3413,11,1232
ReactiveX/RxSwift,Swift,14181,2070,232764,266,1619
ReactiveX/rxjs,JavaScript,4003,322,102588,61,1718
ReactiveX/rxjs,TypeScript,17510,3227,252465,292,1670
RestKit/RestKit,C,4616,541,73115,97,3229
RestKit/RestKit,JavaScript,28,1,13781,4,682
RestKit/RestKit,Objective-C,7052,1692,159208,176,3238
RestKit/RestKit,Ruby,1402,32,14592,17,1900
ReturnInfinity/BareMetal-OS-legacy,Assembly,774,129,40178,13,2012
ReturnInfinity/BareMetal-OS-legacy,C,140,26,3208,7,1997
SDWebImage/SDWebImage,C,1295,289,12054,107,3726
SDWebImage/SDWebImage,Objective-C,2519,695,38156,224,3728
SVProgressHUD/SVProgressHUD,C,180,41,722,42,2985
SVProgressHUD/SVProgressHUD,Objective-C,500,193,7486,103,2986
Seldaek/monolog,PHP,3471,1303,43306,375,3215
SeleniumHQ/selenium,C,5823,737,1060160,35,4517
SeleniumHQ/selenium,C#,9601,810,258963,65,5419
SeleniumHQ/selenium,C++,2224,637,103447,30,4517
SeleniumHQ/selenium,Go,24,3,87,8,3446
SeleniumHQ/selenium,Java,49096,5889,1019839,250,5515
SeleniumHQ/selenium,JavaScript,24684,4218,1903500,179,5510
SeleniumHQ/selenium,Objective-C,621,50,52164,12,1765
SeleniumHQ/selenium,PHP,23,0,1960,4,3021
SeleniumHQ/selenium,Perl,172,21,10333,5,1424
SeleniumHQ/selenium,Python,5709,1133,234305,200,5503
SeleniumHQ/selenium,Ruby,10205,1215,195607,133,5508
ShareX/ShareX,C#,21566,2419,399519,162,2226
Shopify/liquid,Ruby,2377,489,21576,143,4184
SignalR/SignalR,C#,13431,2663,207391,88,3005
SignalR/SignalR,JavaScript,3918,898,327386,41,2810
SnapKit/SnapKit,Swift,629,125,13828,57,1951
Sonarr/Sonarr,C#,30962,6445,455710,122,3362
Sonarr/Sonarr,JavaScript,9054,971,1094786,36,3352
SpinalHDL/VexRiscv,Assembly,54,16,58845,3,764
SpinalHDL/VexRiscv,C,40,13,4350,3,725
SpinalHDL/VexRiscv,C++,199,42,6895,4,821
SpinalHDL/VexRiscv,Python,13,1,147,2,208
SpinalHDL/VexRiscv,Scala,1591,254,30324,9,969
StackExchange/Dapper,C#,2515,463,71583,162,3138
SwifterSwift/SwifterSwift,C,19,2,105,2,440
SwifterSwift/SwifterSwift,Swift,3126,456,85130,109,1216
SwiftyJSON/SwiftyJSON,Swift,547,89,11204,81,1748
TTTAttributedLabel/TTTAttributedLabel,C,103,13,1035,24,1964
TTTAttributedLabel/TTTAttributedLabel,Objective-C,426,137,5888,98,2019
Tencent/mars,C,4940,389,666883,22,1063
Tencent/mars,C++,3913,379,140008,30,1063
Tencent/mars,Java,258,108,3988,9,1021
Tencent/mars,Objective-C,285,63,61425,9,1063
Tencent/mars,Python,158,55,3768,12,1058
Tencent/tinker,Java,1053,339,21878,20,1163
Tencent/wcdb,C,1184,44,99241,7,694
Tencent/wcdb,C++,791,46,13360,6,678
Tencent/wcdb,Java,215,31,7056,2,770
Tencent/wcdb,Objective-C,861,49,18895,8,741
Tencent/wcdb,Swift,2063,138,42519,8,500
TheAlgorithms/Java,Java,1450,458,36447,177,1242
TheAlgorithms/Python,Python,2565,254,76794,400,1239
Unitech/pm2,JavaScript,5267,1215,86580,193,2394
Unitech/pm2,Python,9,1,42,3,1817
Unitech/pm2,TypeScript,17,3,3111,7,1053
WenchaoD/FSCalendar,C,775,92,5642,12,1393
WenchaoD/FSCalendar,Objective-C,1436,334,27379,23,1753
WenchaoD/FSCalendar,Swift,84,12,1637,6,1131
WordPress/WordPress,JavaScript,17226,8036,1649844,73,6077
WordPress/WordPress,PHP,79864,39906,1153007,93,6098
Wox-launcher/Wox,C#,4205,789,80366,76,2009
Wox-launcher/Wox,C++,14,1,345,1,18
Wox-launcher/Wox,Python,3027,315,430250,5,1207
XX-net/XX-Net,C,34,2,109548,4,515
XX-net/XX-Net,JavaScript,305,64,1134,9,1283
XX-net/XX-Net,Python,7814,2091,753028,59,1683
activeadmin/activeadmin,CoffeeScript,189,42,1333,39,2527
activeadmin/activeadmin,JavaScript,314,27,35581,22,3518
activeadmin/activeadmin,Ruby,7727,1420,65623,385,3525
adam-p/markdown-here,JavaScript,744,268,57347,6,2330
adobe/brackets,C,49,1,8541,8,1457
adobe/brackets,C++,37,6,1609,10,1183
adobe/brackets,JavaScript,24687,5850,1168280,425,2911
adobe/brackets,PHP,31,5,778,6,2426
adobe/brackets,Ruby,11,3,430,6,1509
airbnb/Lona,JavaScript,3262,106,72735,10,755
airbnb/Lona,Swift,3967,216,94794,11,775
airbnb/aerosolve,Java,894,101,25909,12,769
airbnb/aerosolve,Scala,839,67,27170,19,1298
airbnb/javascript,JavaScript,637,106,5087,85,1953
airbnb/lottie-android,Java,3770,893,56960,69,1215
airbnb/lottie-ios,C,1127,69,6349,33,1177
airbnb/lottie-ios,Objective-C,1157,175,20790,66,1177
airbnb/lottie-ios,Swift,485,102,14290,31,689
airbnb/react-sketchapp,JavaScript,1666,497,24058,38,1097
airbnb/react-sketchapp,TypeScript,162,12,2526,4,676
akka/akka,Java,14639,1596,612988,295,3949
akka/akka,JavaScript,185,6,27686,18,3323
akka/akka,Python,75,13,895,21,2226
akka/akka,Scala,89853,12299,1442225,764,3949
akveo/ngx-admin,JavaScript,11,0,41,4,338
akveo/ngx-admin,TypeScript,1391,326,24555,22,907
alcatraz/Alcatraz,C,313,18,1781,13,1140
alcatraz/Alcatraz,Objective-C,721,92,8179,27,1226
alexazhou/VeryNginx,JavaScript,243,62,3903,4,230
alexazhou/VeryNginx,Lua,353,88,5139,12,1000
alexazhou/VeryNginx,Python,72,9,1014,6,1237
algorithm-archivists/algorithm-archive,C,101,58,2513,10,647
algorithm-archivists/algorithm-archive,C#,125,50,1587,3,187
algorithm-archivists/algorithm-archive,C++,91,45,2954,15,678
algorithm-archivists/algorithm-archive,Go,20,6,801,5,381
algorithm-archivists/algorithm-archive,Java,54,22,1232,14,360
algorithm-archivists/algorithm-archive,JavaScript,60,25,906,10,630
algorithm-archivists/algorithm-archive,Objective-C,17,10,189,6,202
algorithm-archivists/algorithm-archive,PHP,10,0,544,2,86
algorithm-archivists/algorithm-archive,Python,78,32,1401,22,665
algorithm-archivists/algorithm-archive,Ruby,7,2,253,5,150
algorithm-archivists/algorithm-archive,Scala,7,2,254,3,81
algorithm-archivists/algorithm-archive,Swift,25,8,438,2,91
alibaba/arthas,Java,807,140,44969,42,466
alibaba/arthas,JavaScript,15,1,18908,2,453
alibaba/arthas,Python,18,2,723,1,368
alibaba/druid,Java,36473,11605,806785,169,3120
alibaba/druid,JavaScript,166,19,15361,21,2660
alibaba/fastjson,Java,13986,2279,334729,134,3048
alibaba/tengine,C,3759,402,379516,86,2929
alibaba/tengine,C++,25,13,4105,6,2832
alibaba/tengine,Perl,121,3,19350,19,2653
allinurl/goaccess,C,3423,820,80077,65,3429
allinurl/goaccess,JavaScript,142,60,6331,9,1378
andlabs/libui,C,4944,877,84325,10,1623
andlabs/libui,C++,1240,249,27420,6,1237
andlabs/libui,Go,40,4,1562,1,1432
andlabs/libui,Objective-C,1751,410,32586,5,1241
andlabs/libui,Swift,124,38,1935,1,1318
