project,language,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
NationalSecurityAgency/ghidra,C,129,18,0,0,9,9,3,0,15,28080,10,205
NationalSecurityAgency/ghidra,C++,394,76,0,3,26,47,19,6,51,107570,13,244
NationalSecurityAgency/ghidra,Java,15325,2556,1,61,114,2380,1302,729,525,2085466,42,260
NationalSecurityAgency/ghidra,Python,50,12,0,0,2,10,7,0,5,14515,9,199
NativeScript/NativeScript,C,18,0,0,0,0,0,0,0,0,225,7,1267
NativeScript/NativeScript,Java,382,88,0,0,20,68,43,0,45,24113,36,1582
NativeScript/NativeScript,JavaScript,247,45,0,0,1,44,23,1,21,16902,30,1736
NativeScript/NativeScript,Objective-C,17,2,0,0,1,1,1,0,1,526,8,1267
NativeScript/NativeScript,TypeScript,18578,5183,29,70,242,4842,2955,190,2038,2930724,184,2093
Netflix/Hystrix,Java,3307,453,9,95,27,322,247,6,200,163335,95,2215
Netflix/Hystrix,JavaScript,29,11,0,2,1,8,6,0,5,1006,12,1859
Netflix/atlas,Java,69,23,0,0,7,16,20,0,3,898,4,1756
Netflix/atlas,Scala,5228,1666,2,22,177,1465,1351,34,281,67990,18,1824
NickeManarin/ScreenToGif,C#,3130,773,1,5,11,756,452,43,278,206413,27,2239
OpenEmu/OpenEmu,C,10963,1196,1,17,47,1131,859,9,328,946164,50,3948
OpenEmu/OpenEmu,C++,7261,16,0,0,2,14,9,0,7,835232,15,3659
OpenEmu/OpenEmu,Objective-C,10362,2711,22,89,195,2405,1637,48,1026,297718,86,3960
OpenEmu/OpenEmu,Swift,164,35,0,0,0,35,19,1,15,6200,8,1466
OpenKore/openkore,Assembly,123,17,0,0,0,17,13,0,4,38964,8,3439
OpenKore/openkore,C,6297,170,5,7,8,150,65,3,102,932663,26,5550
OpenKore/openkore,C#,169,20,0,0,0,20,6,0,14,11335,4,3481
OpenKore/openkore,C++,2810,132,0,5,5,122,37,1,94,211726,18,5626
OpenKore/openkore,JavaScript,314,1,0,0,0,1,0,0,1,23477,16,4322
OpenKore/openkore,PHP,8774,36,3,0,1,32,9,2,25,1520981,11,4283
OpenKore/openkore,Perl,29559,5251,68,118,170,4895,2576,121,2554,2459662,124,5868
OpenKore/openkore,Python,7671,378,0,0,0,378,196,0,182,774781,12,4829
OpenKore/openkore,Ruby,33,0,0,0,0,0,0,0,0,1568,6,3419
OpenNMT/OpenNMT,Lua,2714,471,5,15,46,405,132,16,323,59729,44,838
OpenNMT/OpenNMT,Python,53,2,0,0,0,2,1,0,1,2526,13,619
OpenRA/OpenRA,C,181,23,0,0,5,18,9,0,14,4229,6,2320
OpenRA/OpenRA,C#,58403,10056,187,114,1318,8437,3301,193,6562,601210,290,4555
OpenRA/OpenRA,Lua,1366,285,20,11,11,243,98,0,187,38916,40,2144
OpenRA/OpenRA,Objective-C,140,36,0,0,5,31,14,0,22,2827,2,1325
OpenRA/OpenRA,PHP,31,0,0,0,0,0,0,0,0,412,4,190
OpenRA/OpenRA,TypeScript,25,3,0,0,0,3,1,0,2,11227,3,1236
Openarl/PathOfBuilding,Lua,4619,1351,3,4,36,1308,609,84,658,506990,35,1315
PHPMailer/PHPMailer,JavaScript,78,1,0,0,0,1,0,0,1,7352,5,2799
PHPMailer/PHPMailer,PHP,1531,299,5,2,6,286,122,4,173,36658,168,4045
PHPOffice/PHPExcel,PHP,4471,1038,4,1,91,942,455,10,573,284133,66,2225
PerfectlySoft/Perfect,C,3175,12,0,0,0,12,12,0,0,412983,4,231
PerfectlySoft/Perfect,C++,23,2,0,0,0,2,2,0,0,1137,1,169
PerfectlySoft/Perfect,Swift,1625,123,0,13,10,100,88,2,33,45778,37,1254
PhilJay/MPAndroidChart,Java,7343,1740,5,14,90,1631,866,117,757,144887,63,1827
PowerShell/PowerShell,C,365,50,0,2,14,34,29,0,21,6022,19,1327
PowerShell/PowerShell,C#,22375,3772,21,30,1035,2686,2258,13,1501,1343590,205,1656
PowerShell/PowerShell,C++,697,88,0,0,14,74,59,0,29,18171,37,1327
PowerShell/PowerShell,JavaScript,7,3,0,0,0,3,2,0,1,112,1,839
Quick/Quick,C,206,20,0,0,0,20,6,0,14,1128,27,1780
Quick/Quick,Objective-C,350,39,1,0,1,37,18,0,21,2449,33,1929
Quick/Quick,Swift,1530,150,3,0,1,146,66,0,84,13234,60,1960
ReactTraining/react-router,JavaScript,8671,1552,28,10,46,1468,1039,5,508,576300,291,1990
ReactiveCocoa/ReactiveCocoa,C,2872,173,0,9,6,158,56,3,114,17929,73,2839
ReactiveCocoa/ReactiveCocoa,Objective-C,5297,523,7,43,37,436,224,6,293,72551,89,2819
ReactiveCocoa/ReactiveCocoa,Swift,5263,505,3,19,33,450,249,3,253,106572,141,2000
ReactiveX/RxJava,Java,34234,10046,93,352,279,9322,7417,103,2526,1471601,231,2808
ReactiveX/RxJava,Scala,1049,119,0,14,6,99,52,0,67,22463,24,579
ReactiveX/RxSwift,C,153,27,0,0,0,27,12,3,12,1574,11,1459
ReactiveX/RxSwift,JavaScript,82,19,0,0,0,19,0,1,18,986,2,386
ReactiveX/RxSwift,Objective-C,86,12,0,0,0,12,7,0,5,3413,11,1232
ReactiveX/RxSwift,Swift,14181,2070,7,66,40,1957,691,321,1058,232764,266,1619
ReactiveX/rxjs,JavaScript,4003,322,12,5,18,287,185,21,116,102588,61,1718
ReactiveX/rxjs,TypeScript,17510,3227,21,36,92,3078,1608,67,1552,252465,292,1670
RestKit/RestKit,C,4616,541,1,26,41,473,283,7,251,73115,97,3229
RestKit/RestKit,JavaScript,28,1,0,0,0,1,0,0,1,13781,4,682
RestKit/RestKit,Objective-C,7052,1692,7,100,195,1390,874,26,792,159208,176,3238
RestKit/RestKit,Ruby,1402,32,0,1,4,27,11,0,21,14592,17,1900
ReturnInfinity/BareMetal-OS-legacy,Assembly,774,129,5,0,7,117,65,0,64,40178,13,2012
ReturnInfinity/BareMetal-OS-legacy,C,140,26,1,0,0,25,9,0,17,3208,7,1997
SDWebImage/SDWebImage,C,1295,289,2,12,25,250,167,5,117,12054,107,3726
SDWebImage/SDWebImage,Objective-C,2519,695,13,73,94,515,419,7,269,38156,224,3728
SVProgressHUD/SVProgressHUD,C,180,41,0,0,1,40,8,6,27,722,42,2985
SVProgressHUD/SVProgressHUD,Objective-C,500,193,1,3,6,183,62,8,123,7486,103,2986
Seldaek/monolog,PHP,3471,1303,1,21,32,1249,456,398,449,43306,375,3215
SeleniumHQ/selenium,C,5823,737,19,168,57,493,399,99,239,1060160,35,4517
SeleniumHQ/selenium,C#,9601,810,7,8,14,781,429,3,378,258963,65,5419
SeleniumHQ/selenium,C++,2224,637,26,69,51,491,377,98,162,103447,30,4517
SeleniumHQ/selenium,Go,24,3,0,0,0,3,2,0,1,87,8,3446
SeleniumHQ/selenium,Java,49096,5889,98,224,206,5361,3188,71,2630,1019839,250,5515
SeleniumHQ/selenium,JavaScript,24684,4218,59,49,87,4023,3159,27,1032,1903500,179,5510
SeleniumHQ/selenium,Objective-C,621,50,0,10,0,40,29,0,21,52164,12,1765
SeleniumHQ/selenium,PHP,23,0,0,0,0,0,0,0,0,1960,4,3021
SeleniumHQ/selenium,Perl,172,21,0,0,0,21,13,0,8,10333,5,1424
SeleniumHQ/selenium,Python,5709,1133,6,7,14,1106,801,14,318,234305,200,5503
SeleniumHQ/selenium,Ruby,10205,1215,13,27,75,1100,612,5,598,195607,133,5508
ShareX/ShareX,C#,21566,2419,7,20,93,2299,1393,27,999,399519,162,2226
Shopify/liquid,Ruby,2377,489,0,72,11,406,212,2,275,21576,143,4184
SignalR/SignalR,C#,13431,2663,76,169,241,2177,1648,69,946,207391,88,3005
SignalR/SignalR,JavaScript,3918,898,110,0,54,734,572,18,308,327386,41,2810
SnapKit/SnapKit,Swift,629,125,1,1,12,111,75,0,50,13828,57,1951
Sonarr/Sonarr,C#,30962,6445,95,106,284,5960,3416,342,2687,455710,122,3362
Sonarr/Sonarr,JavaScript,9054,971,10,13,56,892,554,24,393,1094786,36,3352
SpinalHDL/VexRiscv,Assembly,54,16,1,0,3,12,7,0,9,58845,3,764
SpinalHDL/VexRiscv,C,40,13,0,0,1,12,2,0,11,4350,3,725
SpinalHDL/VexRiscv,C++,199,42,0,2,10,30,11,2,29,6895,4,821
SpinalHDL/VexRiscv,Python,13,1,0,0,0,1,0,0,1,147,2,208
SpinalHDL/VexRiscv,Scala,1591,254,1,16,66,171,110,12,132,30324,9,969
StackExchange/Dapper,C#,2515,463,4,3,21,435,259,15,189,71583,162,3138
SwifterSwift/SwifterSwift,C,19,2,0,2,0,0,1,0,1,105,2,440
SwifterSwift/SwifterSwift,Swift,3126,456,0,114,9,333,312,5,139,85130,109,1216
SwiftyJSON/SwiftyJSON,Swift,547,89,0,0,6,83,40,0,49,11204,81,1748
TTTAttributedLabel/TTTAttributedLabel,C,103,13,0,1,0,12,9,1,3,1035,24,1964
TTTAttributedLabel/TTTAttributedLabel,Objective-C,426,137,1,5,12,119,92,1,44,5888,98,2019
Tencent/mars,C,4940,389,0,2,9,378,52,2,335,666883,22,1063
Tencent/mars,C++,3913,379,1,1,25,352,101,3,275,140008,30,1063
