project,language,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
eugenp/tutorials,Scala,102,0,0,0,0,0,0,0,0,1788,11,1281
eugenp/tutorials,TypeScript,1124,1,0,0,0,1,1,0,0,26254,12,920
expo/expo,C,142076,5257,4,1,568,4684,1408,5,3844,1187258,58,1201
expo/expo,C++,29139,214,0,0,2,212,91,1,122,5193047,24,1166
expo/expo,Java,28220,3449,19,9,107,3314,3123,9,317,1176423,103,1211
expo/expo,JavaScript,31261,1803,2,4,34,1763,979,3,821,2254346,105,1273
expo/expo,Objective-C,34049,2208,10,23,257,1918,1284,9,915,2608641,89,1206
expo/expo,Python,30,1,0,0,0,1,1,0,0,1172,5,1232
expo/expo,Ruby,200,32,0,13,0,19,30,0,2,2406,8,1082
expo/expo,TypeScript,3615,897,1,4,22,870,570,0,327,49041,66,446
expressjs/express,JavaScript,5979,894,3,1,37,853,474,9,411,76378,201,3620
facebook/SocketRocket,C,137,13,0,0,0,13,4,0,9,1492,26,2281
facebook/SocketRocket,Objective-C,295,68,1,0,11,56,26,0,42,6282,49,2040
facebook/SocketRocket,Python,19,0,0,0,0,0,0,0,0,2476,3,1592
facebook/create-react-app,JavaScript,2931,723,2,9,22,690,392,6,325,121073,423,1243
facebook/create-react-app,TypeScript,61,10,0,0,0,10,6,0,4,512,19,411
facebook/folly,C,14595,2731,37,290,205,2199,2522,62,147,363115,623,2778
facebook/folly,C++,12880,2613,42,270,225,2076,2398,51,164,356476,562,2777
facebook/folly,Python,454,86,2,2,8,74,82,0,4,12962,49,2746
facebook/folly,Ruby,13,1,0,0,0,1,1,0,0,172,6,2016
facebook/fresco,C,993,415,1,0,0,414,4,0,411,272264,18,1646
facebook/fresco,C++,160,28,2,0,4,22,22,0,6,2218,25,1695
facebook/fresco,Java,8835,1094,9,31,251,803,542,4,548,144077,264,1719
facebook/fresco,JavaScript,88,29,0,0,0,29,0,0,29,24311,10,1678
facebook/fresco,Python,18,2,0,0,0,2,2,0,0,363,7,1626
facebook/hhvm,C,54639,9648,137,431,1022,8058,7779,291,1578,1192806,591,3597
facebook/hhvm,C++,84423,18309,281,871,2202,14955,15465,590,2254,6566642,776,3597
facebook/hhvm,JavaScript,181,13,0,0,0,13,12,0,1,27768,40,2210
facebook/hhvm,PHP,144911,8398,138,150,599,7511,7256,101,1041,1422681,626,3596
facebook/hhvm,Perl,13,0,0,0,0,0,0,0,0,266,7,2173
facebook/hhvm,Python,1645,304,6,21,39,238,280,2,22,37177,159,3582
facebook/react,C++,20,4,0,0,0,4,4,0,0,906,4,1084
facebook/react,CoffeeScript,43,7,0,0,0,7,5,0,2,793,23,1661
facebook/react,JavaScript,33435,7293,64,122,278,6829,5112,174,2007,920696,870,2387
facebook/react,Python,11,5,0,0,0,5,4,0,1,367,5,1394
facebook/react,Ruby,18,7,0,0,0,7,3,0,4,94,11,1478
facebook/react,TypeScript,81,15,0,0,0,15,12,0,3,1303,23,1340
facebook/react-native,C,9956,1218,17,51,127,1023,1047,28,143,126421,367,1771
facebook/react-native,C++,4182,430,11,27,60,332,419,2,9,83736,153,1547
facebook/react-native,Java,12360,1981,28,87,332,1534,1848,32,101,217881,561,1548
facebook/react-native,JavaScript,30660,4404,75,72,611,3646,3865,38,501,1107873,1634,1771
facebook/react-native,Objective-C,9624,2391,46,163,269,1913,2005,70,316,166238,669,1775
facebook/react-native,Python,9,0,0,0,0,0,0,0,0,621,5,1300
facebook/react-native,Ruby,15,4,0,0,0,4,3,0,1,80,9,176
facebook/rocksdb,C,10810,2014,26,172,469,1347,1576,87,351,222008,434,3189
facebook/rocksdb,C++,20712,5127,109,436,1155,3427,3951,215,961,575133,555,3189
facebook/rocksdb,Java,2201,328,0,9,78,241,265,3,60,82401,85,2609
facebook/rocksdb,PHP,99,20,0,0,5,15,14,0,6,2413,22,2506
facebook/rocksdb,Python,276,60,0,4,9,47,50,0,10,15981,58,2524
facebook/yoga,C,1580,240,7,0,49,184,214,3,23,115953,94,2055
facebook/yoga,C#,871,129,1,0,7,121,125,0,4,47148,34,1483
facebook/yoga,C++,1629,260,11,2,38,209,243,6,11,70134,59,1226
facebook/yoga,Java,1514,259,1,1,27,230,250,1,8,60856,63,1902
facebook/yoga,JavaScript,1466,277,4,0,10,263,244,0,33,57026,59,2024
facebook/yoga,Objective-C,141,42,2,0,10,30,31,2,9,3978,25,1098
facebook/yoga,Python,37,9,0,0,1,8,8,0,1,453,12,876
facebook/yoga,Ruby,11,1,0,0,0,1,1,0,0,71,6,1087
facebook/yoga,Swift,35,9,0,0,7,2,2,0,7,626,8,1034
facebook/zstd,C,9532,2411,16,104,325,1966,1185,94,1132,277199,117,1775
facebook/zstd,C++,101,33,0,4,3,26,21,4,8,4294,9,1160
facebook/zstd,Python,104,18,1,0,0,17,7,8,3,2777,8,1257
faif/python-patterns,Python,1017,187,0,2,0,185,61,0,126,10122,104,2717
faker-ruby/faker,Ruby,4143,1006,7,2,11,986,681,3,322,38769,465,4398
fastlane/fastlane,C,119,38,0,28,0,10,38,0,0,573,7,1323
fastlane/fastlane,Java,96,9,0,0,0,9,5,0,4,1962,18,1426
fastlane/fastlane,JavaScript,41,8,0,2,0,6,3,0,5,380,5,483
fastlane/fastlane,Objective-C,224,63,0,51,0,12,63,0,0,2016,8,1323
fastlane/fastlane,Ruby,20471,4553,51,33,83,4386,2424,358,1771,220032,1046,1905
fastlane/fastlane,Swift,1243,86,8,20,1,57,75,0,11,16284,60,1607
fatedier/frp,Go,5164,247,26,1,6,214,75,0,172,702291,34,1398
fatedier/frp,JavaScript,88,8,0,0,0,8,4,0,4,1167,2,915
felixse/FluentTerminal,C#,1856,494,10,9,28,447,340,14,140,37980,30,682
felixse/FluentTerminal,JavaScript,68,8,0,0,0,8,6,0,2,15469,7,493
felixse/FluentTerminal,TypeScript,162,1,0,0,0,1,1,0,0,15052,4,644
filp/whoops,JavaScript,34,12,0,0,0,12,3,1,8,358,10,1606
filp/whoops,PHP,924,249,0,1,9,239,49,52,148,11305,109,2456
flatpickr/flatpickr,JavaScript,2668,695,2,4,32,657,302,12,381,51704,100,1658
flatpickr/flatpickr,TypeScript,974,442,9,2,10,421,263,1,178,15934,95,799
fluent/fluentd,Ruby,6674,1547,3,97,69,1378,687,22,838,141423,196,3095
formatjs/react-intl,JavaScript,1915,219,0,0,6,213,118,4,97,32509,52,2021
formatjs/react-intl,TypeScript,350,190,0,0,0,190,34,0,156,5381,11,175
freeCodeCamp/devdocs,CoffeeScript,1745,224,0,8,7,209,120,2,102,10987,38,2179
freeCodeCamp/devdocs,JavaScript,69,4,0,0,0,4,2,0,2,24398,8,2129
freeCodeCamp/devdocs,Ruby,4197,236,0,0,3,233,81,31,124,46338,89,2192
freeCodeCamp/freeCodeCamp,JavaScript,12320,3631,74,33,134,3390,1575,30,2026,701391,293,2218
fxsjy/jieba,Python,631,117,0,0,6,111,55,1,61,990344,38,2464
fzaninotto/Faker,PHP,3482,1078,2,1,15,1060,411,16,651,210165,492,2966
gatling/gatling,Java,1382,158,0,2,28,128,38,21,99,51518,23,3084
gatling/gatling,JavaScript,63,8,0,0,0,8,3,0,5,1787,15,2783
gatling/gatling,Python,15,0,0,0,0,0,0,0,0,289,4,1830
gatling/gatling,Scala,32842,2786,23,36,95,2632,757,19,2010,249856,119,3100
gatsbyjs/gatsby,CoffeeScript,232,32,0,0,1,31,16,0,16,3006,6,252
gatsbyjs/gatsby,JavaScript,18095,6885,120,55,468,6242,4643,116,2126,365550,1132,1643
gatsbyjs/gatsby,TypeScript,160,57,0,0,3,54,30,0,27,4727,69,951
gentilkiwi/mimikatz,C,2032,455,2,8,56,389,183,5,267,410052,3,2058
getgrav/grav,JavaScript,40,0,0,0,0,0,0,0,0,3148,4,1315
getgrav/grav,PHP,8695,1718,17,17,110,1574,774,91,853,179998,130,1955
getsentry/sentry,CoffeeScript,91,18,0,0,0,18,0,0,18,1230,2,42
getsentry/sentry,JavaScript,26460,5846,69,59,306,5412,3489,63,2294,536482,131,3388
getsentry/sentry,Lua,32,9,1,0,3,5,5,0,4,3870,6,1379
getsentry/sentry,Python,46373,8464,156,140,364,7804,4270,105,4089,1650427,371,4230
getsentry/sentry,TypeScript,1345,439,6,3,7,423,244,0,195,42146,26,170
ggreer/the_silver_searcher,C,1681,397,6,13,56,322,206,18,173,13868,171,2662
gin-gonic/gin,Go,1790,427,5,7,63,352,134,16,277,27413,198,1988
gin-gonic/gin,JavaScript,14,5,0,0,0,5,0,0,5,304,3,1388
git/git,C,41946,9490,215,225,2065,6985,6550,199,2741,598373,1087,5354
git/git,JavaScript,29,10,0,1,0,9,8,0,2,1964,8,4397
git/git,Perl,447,121,3,2,8,108,87,6,28,16441,109,5293
git/git,Python,402,114,2,1,6,105,89,0,25,16058,78,5168
gitbucket/gitbucket,Java,125,7,0,0,0,7,2,0,5,634,14,2328
gitbucket/gitbucket,JavaScript,963,32,3,0,2,27,10,1,21,525789,19,2372
gitbucket/gitbucket,Scala,5559,1115,2,10,40,1063,363,19,733,83227,114,2434
github/hub,Go,4403,542,11,1,30,500,287,5,250,367555,114,2436
github/hub,Ruby,970,250,2,3,5,240,149,2,99,10385,62,3646
github/hubot-scripts,CoffeeScript,2736,571,1,1,8,561,134,3,434,46317,796,1699
github/hubot-scripts,JavaScript,10,1,0,0,0,1,0,0,1,289,5,439
github/linguist,C,200,8,0,0,0,8,4,0,4,53271,21,3050
github/linguist,C++,41,0,0,0,0,0,0,0,0,11230,7,2247
github/linguist,CoffeeScript,35,1,0,0,0,1,1,0,0,1469,4,1275
github/linguist,Go,45,7,0,0,0,7,7,0,0,5633,11,1632
github/linguist,Java,25,0,0,0,0,0,0,0,0,4659,6,1604
github/linguist,JavaScript,95,8,0,0,0,8,3,0,5,31907,13,3072
github/linguist,Objective-C,175,42,0,0,0,42,41,0,1,49625,20,2834
github/linguist,PHP,26,0,0,0,0,0,0,0,0,7254,7,1634
github/linguist,Perl,94,15,0,0,0,15,4,0,11,9260,14,2571
github/linguist,Python,24,0,0,0,0,0,0,0,0,2125,7,1929
github/linguist,Ruby,2277,278,2,2,6,268,102,7,169,22843,234,3137
github/linguist,TypeScript,22,6,0,0,0,6,2,0,4,2359,8,2266
gitlabhq/gitlabhq,CoffeeScript,2784,666,9,2,15,640,394,22,250,30809,152,1783
gitlabhq/gitlabhq,JavaScript,25880,4455,29,53,277,4096,2195,119,2141,992455,428,2983
gitlabhq/gitlabhq,Ruby,142312,23247,259,545,1434,21009,11411,376,11460,1633520,1545,2983
gnachman/iTerm2,C,9351,2448,40,92,326,1990,1574,89,785,162082,90,3429
gnachman/iTerm2,C++,15,4,0,0,0,4,1,0,3,410,4,3360
gnachman/iTerm2,JavaScript,39,0,0,0,0,0,0,0,0,26245,2,781
gnachman/iTerm2,Objective-C,19975,6703,112,195,895,5501,4117,184,2402,658404,154,3429
gnachman/iTerm2,Perl,8,5,0,0,0,5,2,0,3,288,4,1153
gnachman/iTerm2,Python,3655,261,0,4,4,253,138,3,120,541904,16,3413
gnachman/iTerm2,Swift,59,16,0,0,0,16,14,0,2,2130,1,222
go-gitea/gitea,C,20,3,0,0,0,3,3,0,0,269458,7,1111
go-gitea/gitea,Go,23203,8387,85,149,316,7837,4346,33,4008,2102815,472,2127
go-gitea/gitea,JavaScript,1250,221,2,5,4,210,115,1,105,235569,99,2123
go-kit/kit,Go,3004,354,8,9,10,327,140,0,214,94043,154,1732
godotengine/godot,C,38877,8694,55,63,433,8143,4281,277,4136,2935766,636,2129
godotengine/godot,C#,587,113,0,0,6,107,59,0,54,21537,36,794
godotengine/godot,C++,41399,14764,156,156,1068,13384,8739,598,5427,1766031,1089,2130
godotengine/godot,Java,796,312,1,2,47,262,180,0,132,36944,42,2111
godotengine/godot,JavaScript,36,9,0,1,0,8,5,0,4,1133,9,2059
godotengine/godot,Objective-C,562,214,0,21,9,184,130,4,80,15075,93,2127
godotengine/godot,Perl,383,235,0,0,0,235,1,0,234,75457,6,2029
godotengine/godot,Python,1548,584,4,7,14,559,301,30,253,36564,179,2128
gogs/gogs,Go,12740,3108,33,25,56,2994,1272,10,1826,884447,265,2126
gogs/gogs,JavaScript,670,99,2,1,1,95,25,0,74,112330,39,2095
gohugoio/hugo,Go,10501,3887,165,119,207,3396,2084,52,1751,225276,310,2350
gohugoio/hugo,JavaScript,213,27,0,0,0,27,20,0,7,43998,7,2194
golang/go,C,18845,5910,45,340,754,4771,5440,56,414,574019,191,4245
golang/go,Go,106428,29827,473,1415,2343,25596,27267,449,2111,4466296,1643,4291
golang/go,JavaScript,100,36,0,3,1,32,35,0,1,6132,22,3713
golang/go,Perl,124,19,0,0,0,19,16,1,2,3721,32,3111
golang/go,Python,274,99,1,4,2,92,93,0,6,12540,51,3475
gollum/gollum,JavaScript,3522,82,0,1,4,77,35,0,47,453788,36,2104
gollum/gollum,Ruby,1549,339,3,0,7,329,104,0,235,14587,120,3099
google/ExoPlayer,C,16,1,0,0,0,1,1,0,0,307,6,1270
google/ExoPlayer,C++,103,19,0,0,1,18,14,0,5,3775,16,1738
google/ExoPlayer,Java,24169,4416,51,162,577,3626,2827,54,1535,546858,211,1995
google/brotli,C,1813,662,18,1,56,587,423,6,233,135136,28,2111
google/brotli,C++,435,143,10,2,8,123,68,2,73,29145,22,2093
google/brotli,Java,229,108,0,0,14,94,56,0,52,11210,2,906
google/brotli,JavaScript,17,15,0,0,2,13,7,4,4,2704,2,613
google/brotli,Lua,10,3,0,0,0,3,3,0,0,134,4,389
google/brotli,Python,139,27,0,0,4,23,18,0,9,4834,15,1730
google/flatbuffers,C,1053,419,3,1,32,383,331,7,81,28741,191,2141
google/flatbuffers,C#,479,156,4,0,3,149,118,11,27,9171,57,1882
google/flatbuffers,C++,1478,576,9,0,32,535,452,5,119,57098,227,2141
google/flatbuffers,Go,275,112,0,0,11,101,98,0,14,8110,48,1963
google/flatbuffers,Java,515,167,2,0,9,156,143,1,23,9788,57,2107
google/flatbuffers,JavaScript,127,49,0,0,7,42,36,0,13,7518,30,2106
google/flatbuffers,Lua,55,35,0,0,0,35,31,0,4,2968,10,497
google/flatbuffers,PHP,106,44,0,0,0,44,42,0,2,6636,23,1400
google/flatbuffers,Python,204,97,23,0,3,71,63,0,34,8042,37,1812
google/flatbuffers,TypeScript,77,41,0,0,1,40,39,0,2,6080,22,938
google/googletest,C,1850,369,4,12,17,336,230,1,138,62023,105,4166
google/googletest,C++,2504,496,2,15,25,454,337,8,151,67612,113,4166
google/googletest,Python,543,98,1,0,18,79,63,0,35,19155,38,4166
google/gson,Java,3706,722,1,7,39,675,453,35,234,72524,77,4074
google/guava,Java,35495,7435,15,150,578,6692,3583,28,3824,1260448,340,3736
google/leveldb,C,748,216,0,16,29,171,144,37,35,9520,23,3173
google/leveldb,C++,1121,328,0,26,53,249,211,56,61,36216,40,3180
grafana/grafana,C,579,6,0,3,0,3,6,0,0,535226,4,1767
grafana/grafana,Go,27338,4546,67,28,236,4215,2795,17,1734,3793650,416,1951
grafana/grafana,JavaScript,22976,2395,24,9,64,2298,1320,124,951,1701575,320,2509
grafana/grafana,Perl,93,0,0,0,0,0,0,0,0,7002,4,1293
grafana/grafana,Python,22,1,0,0,0,1,1,0,0,1434,6,1796
grafana/grafana,TypeScript,28358,4830,71,18,173,4568,2648,94,2088,632193,349,1554
greenrobot/EventBus,Java,934,61,0,6,0,55,40,1,20,15920,14,2683
grpc/grpc,C,47812,8865,51,513,744,7557,2149,118,6598,951878,302,1838
grpc/grpc,C#,4239,695,0,16,10,669,82,1,612,105032,63,1764
grpc/grpc,C++,21950,3218,32,164,632,2390,1317,71,1830,453716,254,1840
grpc/grpc,Go,67,8,0,0,0,8,2,0,6,1887,9,1678
grpc/grpc,Java,55,3,0,0,0,3,3,0,0,2473,11,1775
grpc/grpc,JavaScript,2340,263,0,19,9,235,93,5,165,46199,28,1605
grpc/grpc,Objective-C,2315,435,5,8,15,407,128,2,305,49851,48,1743
grpc/grpc,PHP,773,150,0,5,52,93,45,0,105,31604,32,1807
grpc/grpc,Python,9698,1201,6,45,64,1086,428,23,750,197338,183,1838
grpc/grpc,Ruby,1968,455,2,42,4,407,171,1,283,37827,83,1827
grpc/grpc,Swift,20,5,0,2,0,3,1,0,4,252,6,1192
gulpjs/gulp,CoffeeScript,41,1,0,0,0,1,0,0,1,232,1,2
gulpjs/gulp,JavaScript,402,61,1,0,0,60,17,0,44,4386,33,2131
guzzle/guzzle,JavaScript,36,5,0,0,0,5,2,0,3,5363,6,2589
guzzle/guzzle,PHP,10334,1749,35,5,71,1638,602,121,1026,145632,253,3206
guzzle/guzzle,Python,12,1,0,0,0,1,1,0,0,179,1,634
h2o/h2o,C,11884,1373,39,54,174,1106,596,26,751,448984,90,1939
h2o/h2o,C++,105,18,0,1,1,16,8,0,10,21358,9,1790
h2o/h2o,JavaScript,167,32,0,0,1,31,5,0,27,11337,9,1691
h2o/h2o,PHP,8,0,0,0,0,0,0,0,0,24,3,813
h2o/h2o,Perl,196,22,0,1,1,20,9,0,13,5425,12,1935
h2o/h2o,Python,48,0,0,0,0,0,0,0,0,7021,2,1288
h2o/h2o,Ruby,1318,18,2,0,1,15,4,0,14,54192,11,1459
h5bp/html5-boilerplate,Java,20,4,0,0,0,4,4,0,0,0,7,538
h5bp/html5-boilerplate,JavaScript,277,56,0,0,0,56,33,3,20,53467,54,3559
h5bp/html5-boilerplate,PHP,77,3,0,0,0,3,2,0,1,4544,2,56
hackiftekhar/IQKeyboardManager,C,663,219,3,0,3,213,91,1,127,11476,24,2492
hackiftekhar/IQKeyboardManager,Objective-C,1098,442,7,3,16,416,225,12,205,37095,44,2492
hackiftekhar/IQKeyboardManager,Swift,929,272,5,2,17,248,154,4,114,22696,35,1915
hakimel/reveal.js,JavaScript,1549,316,7,1,21,287,143,7,166,28881,179,2844
hankcs/HanLP,Java,3761,100,0,0,6,94,8,0,92,113302,32,1888
haoel/leetcode,C++,1264,108,7,0,5,96,22,1,85,26143,30,1807
haoel/leetcode,Java,223,0,0,0,0,0,0,0,0,4989,5,862
haoel/leetcode,Python,75,0,0,0,0,0,0,0,0,1254,1,34
hashicorp/consul,C,23,6,0,0,0,6,5,0,1,834,10,1318
hashicorp/consul,Go,30901,4134,67,269,197,3601,2573,2,1559,3659597,267,2195
hashicorp/consul,JavaScript,2496,151,5,0,10,136,106,0,45,152617,38,2131
hashicorp/consul,Perl,84,16,0,0,0,16,0,0,16,4560,6,1210
hashicorp/consul,Ruby,94,2,0,0,0,2,1,0,1,388,24,2131
hashicorp/terraform,C,25,6,0,0,0,6,5,0,1,453,9,1137
hashicorp/terraform,Go,71672,9809,98,181,234,9296,6942,66,2801,8052516,1047,2028
hashicorp/terraform,JavaScript,233,24,0,2,1,21,3,4,17,10595,11,1061
hashicorp/terraform,Perl,167,45,0,0,0,45,19,0,26,8628,7,1190
hashicorp/terraform,Python,11,1,0,0,0,1,1,0,0,495,5,940
hashicorp/terraform,Ruby,86,9,0,0,1,8,5,0,4,3082,23,1911
hashicorp/vagrant,JavaScript,61,2,0,0,0,2,0,0,2,3995,6,2504
hashicorp/vagrant,Python,49,0,0,0,0,0,0,0,0,535,1,357
hashicorp/vagrant,Ruby,17576,2910,46,66,105,2693,1838,19,1053,216647,780,3594
hashicorp/vault,C,20,0,0,0,0,0,0,0,0,818,6,1379
hashicorp/vault,Go,40522,4286,511,122,193,3460,2226,62,1998,3292472,412,1745
hashicorp/vault,JavaScript,3256,414,2,12,18,382,122,1,291,285292,40,1715
hashicorp/vault,Perl,69,0,0,0,0,0,0,0,0,1685,3,1245
hashicorp/vault,Python,15,1,0,0,0,1,0,0,1,578,3,1451
hashicorp/vault,Ruby,79,2,0,0,0,2,0,0,2,359,15,1704
helm/helm,Go,9362,2285,39,73,104,2069,1285,13,987,144369,304,1499
helm/helm,Python,149,10,0,0,0,10,5,0,5,4268,12,176
home-assistant/home-assistant,JavaScript,611,21,0,0,2,19,19,0,2,76006,8,1238
home-assistant/home-assistant,Python,57788,18101,242,409,983,16467,10120,218,7763,1245997,1908,2275
hsoft/collapseos,Assembly,1256,164,4,1,15,144,114,2,48,27277,3,242
hsoft/collapseos,C,144,21,0,0,5,16,15,0,6,2281,2,239
hsoft/collapseos,Perl,7,1,0,0,0,1,0,0,1,126,1,32
hsoft/collapseos,Python,34,2,0,0,0,2,2,0,0,605,1,237
huggingface/transformers,Python,4084,716,3,0,22,691,161,21,534,160459,199,406
huginn/huginn,CoffeeScript,98,26,0,0,1,25,15,2,9,1143,11,1488
huginn/huginn,JavaScript,26,2,0,0,0,2,1,0,1,4391,6,1500
huginn/huginn,Ruby,3835,783,4,25,97,657,438,21,324,59496,150,2464
ianyh/Amethyst,C,255,25,2,0,8,15,16,0,9,2696,8,1444
ianyh/Amethyst,Objective-C,545,141,9,2,24,106,86,1,54,6697,13,1096
ianyh/Amethyst,Swift,1086,174,16,3,17,138,99,0,75,19539,15,1461
ibireme/YYKit,C,531,36,0,1,11,24,3,2,31,29846,10,1464
ibireme/YYKit,Objective-C,555,159,0,25,13,121,52,34,73,53792,19,1427
ichord/At.js,CoffeeScript,466,173,2,0,4,167,88,4,81,6547,41,2136
ichord/At.js,JavaScript,618,199,2,0,2,195,100,3,96,26402,36,2253
icsharpcode/ILSpy,C#,29347,6492,44,415,98,5935,4355,63,2074,1498077,98,4448
idevz/vanilla,Lua,1088,67,0,0,0,67,43,0,24,41237,7,821
iikira/BaiduPCS-Go,Go,2071,404,7,0,3,394,17,80,307,105322,13,731
iina/iina,C,362,2,0,1,0,1,1,0,1,34187,6,858
iina/iina,Objective-C,33,7,0,1,0,6,4,0,3,569,7,769
iina/iina,Ruby,20,3,0,0,0,3,1,1,1,403,10,1166
iina/iina,Swift,3658,734,32,34,27,641,322,24,388,46672,56,1180
iluwatar/java-design-patterns,Java,12075,3018,27,211,30,2750,1892,39,1087,153885,187,1947
imathis/octopress,JavaScript,175,24,1,0,5,18,12,0,12,25704,13,1689
imathis/octopress,Ruby,311,56,0,0,0,56,34,0,22,4468,46,2219
inconshreveable/ngrok,Go,614,134,0,16,10,108,58,1,75,8608,17,1135
inconshreveable/ngrok,JavaScript,24,4,0,0,0,4,2,0,2,1496,2,291
infinitered/ignite,Java,29,4,0,0,0,4,2,0,2,140,8,372
infinitered/ignite,JavaScript,20107,429,0,3,8,418,187,4,238,717826,51,1384
infinitered/ignite,Objective-C,14,0,0,0,0,0,0,0,0,204,4,372
infinitered/ignite,TypeScript,65,15,0,0,0,15,10,0,5,1880,10,222
influxdata/influxdb,C,114,29,0,1,2,26,8,0,21,8651,6,410
influxdata/influxdb,Go,40725,9596,148,495,741,8212,4490,178,4928,1459969,388,2431
influxdata/influxdb,JavaScript,12618,1664,42,12,56,1554,621,20,1023,186036,61,2206
influxdata/influxdb,Python,77,18,0,1,0,17,10,0,8,3463,21,1351
influxdata/influxdb,Ruby,33,1,0,0,0,1,1,0,0,584,5,1928
influxdata/influxdb,TypeScript,18069,2826,56,7,13,2750,1530,14,1282,334324,64,659
insidegui/WWDC,C,305,4,0,0,0,4,4,0,0,7630,6,1125
insidegui/WWDC,Objective-C,150,11,0,2,0,9,5,0,6,4044,5,1264
insidegui/WWDC,Swift,3067,537,11,5,32,489,359,6,172,54318,49,1686
intel-analytics/BigDL,C,11,1,0,0,0,1,1,0,0,954,5,188
intel-analytics/BigDL,Java,253,7,1,0,0,6,4,1,2,218922,15,915
intel-analytics/BigDL,Python,1055,337,5,0,13,319,192,9,136,36531,46,1027
intel-analytics/BigDL,Scala,12624,4077,98,34,139,3806,2474,83,1520,368635,73,1182
ionic-team/ionic,JavaScript,5887,698,2,1,9,686,205,14,479,411874,48,1687
ionic-team/ionic,TypeScript,30143,7884,90,41,177,7576,3402,109,4373,452858,328,1621
irungentoo/toxcore,C,6496,1861,32,30,254,1545,838,43,980,167180,157,1927
irungentoo/toxcore,Python,13,3,0,0,0,3,0,1,2,581,6,942
istio/istio,Go,50478,11109,221,345,1118,9425,6980,192,3937,4433260,382,1110
istio/istio,Java,44,4,0,0,0,4,3,0,1,481,13,907
istio/istio,JavaScript,60,1,0,0,0,1,1,0,0,6820,24,855
istio/istio,Python,586,132,0,4,5,123,106,0,26,42318,70,1037
istio/istio,Ruby,12,0,0,0,0,0,0,0,0,228,8,967
jakubroztocil/httpie,Python,1528,208,0,0,4,204,121,6,81,22067,64,2839
jakubroztocil/httpie,Ruby,8,0,0,0,0,0,0,0,0,128,2,994
jaredpalmer/formik,JavaScript,202,78,0,0,0,78,31,0,47,4860,40,881
jaredpalmer/formik,TypeScript,822,382,2,0,4,376,150,0,232,27090,115,909
jashkenas/coffeescript,C#,112,7,0,0,0,7,0,0,7,1284,1,14
jashkenas/coffeescript,CoffeeScript,6040,1829,7,8,38,1776,896,31,902,76820,202,3623
jashkenas/coffeescript,JavaScript,7099,1640,3,6,41,1590,845,25,770,157975,168,3630
jashkenas/coffeescript,Ruby,544,64,2,1,0,61,33,0,31,33710,2,65
javan/whenever,Ruby,525,78,0,1,0,77,44,2,32,7531,79,3768
jdg/MBProgressHUD,C,152,27,0,0,1,26,9,3,15,1621,38,3695
jdg/MBProgressHUD,Objective-C,363,90,0,7,8,75,39,5,46,7168,74,3695
jekyll/jekyll,JavaScript,27,0,0,0,0,0,0,0,0,2418,8,2470
jekyll/jekyll,Ruby,5667,819,3,3,20,793,365,19,435,50718,420,4068
jellyfin/jellyfin,C#,54147,6166,55,92,445,5574,2139,130,3897,992682,138,2706
jellyfin/jellyfin,JavaScript,346,32,0,1,1,30,15,0,17,28823,6,637
jenkinsci/jenkins,Java,32685,8617,91,347,325,7854,3188,98,5331,538031,606,4783
jenkinsci/jenkins,JavaScript,1193,348,7,2,13,326,135,3,210,144769,87,4760
jenkinsci/jenkins,Perl,14,7,0,0,0,7,4,0,3,549,12,3378
jenkinsci/jenkins,Python,13,1,0,0,0,1,0,0,1,110,4,2495
jenkinsci/jenkins,Ruby,31,3,0,0,0,3,0,0,3,918,4,3551
jesseduffield/lazygit,Go,4949,327,3,5,3,316,120,21,186,583256,38,574
jessesquires/JSQMessagesViewController,C,1246,127,11,0,1,115,58,6,63,10868,38,1484
jessesquires/JSQMessagesViewController,Objective-C,2019,369,5,0,18,346,149,12,208,28533,77,1394
jessesquires/JSQMessagesViewController,Swift,52,6,0,0,5,1,2,0,4,1572,6,159
jinzhu/gorm,Go,2903,592,6,21,18,547,218,2,372,41832,204,2233
jnordberg/wintersmith,CoffeeScript,376,73,0,0,3,70,45,1,27,4705,31,2695
jonas/tig,C,3468,876,3,8,102,763,631,13,232,88826,111,4975
jordansissel/fpm,Python,43,11,0,1,0,10,6,0,5,785,16,2498
jordansissel/fpm,Ruby,1584,405,4,6,12,383,189,9,207,20377,238,3238
jquery/jquery,Java,16,2,0,0,0,2,2,0,0,0,4,1618
jquery/jquery,JavaScript,10158,4999,53,21,243,4682,2985,198,1816,382770,336,5010
jquery/jquery,PHP,190,45,0,0,1,44,21,1,23,1531,33,4590
js2coffee/js2coffee,CoffeeScript,504,66,0,0,0,66,12,1,53,7945,5,645
js2coffee/js2coffee,JavaScript,116,3,0,0,0,3,1,0,2,389,3,584
juliangarnier/anime,JavaScript,683,156,4,0,0,152,43,9,104,24711,22,1122
junegunn/fzf,Go,1278,258,1,17,33,207,127,40,91,21307,20,1802
junegunn/fzf,Ruby,221,60,1,4,2,53,39,0,21,4474,3,2213
kaminari/kaminari,Ruby,1460,214,0,0,6,208,111,2,101,13365,106,3050
kanaka/mal,Assembly,256,76,0,0,19,57,46,2,28,27977,3,657
kanaka/mal,C,201,75,0,0,4,71,27,0,48,3527,8,1930
kanaka/mal,C#,141,54,0,0,0,54,21,0,33,7141,7,1925
