project,class,commits,bcommits,tins,devs,max_commit_age
ReactiveX/RxSwift,Functional_Static_Disallow_Managed,14181,2070,232764,266,1619
ReactiveX/RxSwift,Procedural_Static_Allow_Unmanaged,239,39,4987,14,1459
ReactiveX/RxSwift,Scripting_Dynamic_Allow_Managed,82,19,986,2,386
ReactiveX/rxjs,Scripting_Dynamic_Allow_Managed,4003,322,102588,61,1718
RestKit/RestKit,Procedural_Static_Allow_Unmanaged,11668,2233,232323,192,3238
RestKit/RestKit,Scripting_Dynamic_Allow_Managed,28,1,13781,4,682
RestKit/RestKit,Scripting_Dynamic_Disallow_Managed,1402,32,14592,17,1900
ReturnInfinity/BareMetal-OS-legacy,Procedural_Static_Allow_Unmanaged,140,26,3208,7,1997
SDWebImage/SDWebImage,Procedural_Static_Allow_Unmanaged,3814,984,50210,245,3728
SVProgressHUD/SVProgressHUD,Procedural_Static_Allow_Unmanaged,680,234,8208,108,2986
Seldaek/monolog,Scripting_Dynamic_Allow_Managed,3471,1303,43306,375,3215
SeleniumHQ/selenium,Procedural_Static_Allow_Unmanaged,8668,1424,1215771,46,4517
SeleniumHQ/selenium,Procedural_Static_Disallow_Managed,58721,6702,1278889,284,5515
SeleniumHQ/selenium,Scripting_Dynamic_Allow_Managed,24879,4239,1915793,181,5510
SeleniumHQ/selenium,Scripting_Dynamic_Disallow_Managed,15914,2348,429912,282,5512
ShareX/ShareX,Procedural_Static_Disallow_Managed,21566,2419,399519,162,2226
Shopify/liquid,Scripting_Dynamic_Disallow_Managed,2377,489,21576,143,4184
SignalR/SignalR,Procedural_Static_Disallow_Managed,13431,2663,207391,88,3005
SignalR/SignalR,Scripting_Dynamic_Allow_Managed,3918,898,327386,41,2810
SnapKit/SnapKit,Functional_Static_Disallow_Managed,629,125,13828,57,1951
Sonarr/Sonarr,Procedural_Static_Disallow_Managed,30962,6445,455710,122,3362
Sonarr/Sonarr,Scripting_Dynamic_Allow_Managed,9054,971,1094786,36,3352
SpinalHDL/VexRiscv,Functional_Static_Disallow_Managed,1591,254,30324,9,969
SpinalHDL/VexRiscv,Procedural_Static_Allow_Unmanaged,239,55,11245,5,864
SpinalHDL/VexRiscv,Scripting_Dynamic_Disallow_Managed,13,1,147,2,208
StackExchange/Dapper,Procedural_Static_Disallow_Managed,2515,463,71583,162,3138
SwifterSwift/SwifterSwift,Functional_Static_Disallow_Managed,3126,456,85130,109,1216
SwifterSwift/SwifterSwift,Procedural_Static_Allow_Unmanaged,19,2,105,2,440
SwiftyJSON/SwiftyJSON,Functional_Static_Disallow_Managed,547,89,11204,81,1748
TTTAttributedLabel/TTTAttributedLabel,Procedural_Static_Allow_Unmanaged,529,150,6923,102,2019
Tencent/mars,Procedural_Static_Allow_Unmanaged,9138,831,868316,35,1063
Tencent/mars,Procedural_Static_Disallow_Managed,258,108,3988,9,1021
Tencent/mars,Scripting_Dynamic_Disallow_Managed,158,55,3768,12,1058
Tencent/tinker,Procedural_Static_Disallow_Managed,1053,339,21878,20,1163
Tencent/wcdb,Functional_Static_Disallow_Managed,2063,138,42519,8,500
Tencent/wcdb,Procedural_Static_Allow_Unmanaged,2836,139,131496,11,741
Tencent/wcdb,Procedural_Static_Disallow_Managed,215,31,7056,2,770
TheAlgorithms/Java,Procedural_Static_Disallow_Managed,1450,458,36447,177,1242
TheAlgorithms/Python,Scripting_Dynamic_Disallow_Managed,2565,254,76794,400,1239
Unitech/pm2,Scripting_Dynamic_Allow_Managed,5267,1215,86580,193,2394
Unitech/pm2,Scripting_Dynamic_Disallow_Managed,9,1,42,3,1817
WenchaoD/FSCalendar,Functional_Static_Disallow_Managed,84,12,1637,6,1131
WenchaoD/FSCalendar,Procedural_Static_Allow_Unmanaged,2211,426,33021,24,1753
WordPress/WordPress,Scripting_Dynamic_Allow_Managed,97090,47942,2802851,93,6098
Wox-launcher/Wox,Procedural_Static_Allow_Unmanaged,14,1,345,1,18
Wox-launcher/Wox,Procedural_Static_Disallow_Managed,4205,789,80366,76,2009
Wox-launcher/Wox,Scripting_Dynamic_Disallow_Managed,3027,315,430250,5,1207
XX-net/XX-Net,Procedural_Static_Allow_Unmanaged,34,2,109548,4,515
XX-net/XX-Net,Scripting_Dynamic_Allow_Managed,305,64,1134,9,1283
XX-net/XX-Net,Scripting_Dynamic_Disallow_Managed,7814,2091,753028,59,1683
activeadmin/activeadmin,Scripting_Dynamic_Allow_Managed,503,69,36914,53,3518
activeadmin/activeadmin,Scripting_Dynamic_Disallow_Managed,7727,1420,65623,385,3525
adam-p/markdown-here,Scripting_Dynamic_Allow_Managed,744,268,57347,6,2330
adobe/brackets,Procedural_Static_Allow_Unmanaged,86,7,10150,11,1457
adobe/brackets,Scripting_Dynamic_Allow_Managed,24718,5855,1169058,425,2911
adobe/brackets,Scripting_Dynamic_Disallow_Managed,11,3,430,6,1509
airbnb/Lona,Functional_Static_Disallow_Managed,3967,216,94794,11,775
airbnb/Lona,Scripting_Dynamic_Allow_Managed,3262,106,72735,10,755
airbnb/aerosolve,Functional_Static_Disallow_Managed,839,67,27170,19,1298
airbnb/aerosolve,Procedural_Static_Disallow_Managed,894,101,25909,12,769
airbnb/javascript,Scripting_Dynamic_Allow_Managed,637,106,5087,85,1953
airbnb/lottie-android,Procedural_Static_Disallow_Managed,3770,893,56960,69,1215
airbnb/lottie-ios,Functional_Static_Disallow_Managed,485,102,14290,31,689
airbnb/lottie-ios,Procedural_Static_Allow_Unmanaged,2284,244,27139,76,1177
airbnb/react-sketchapp,Scripting_Dynamic_Allow_Managed,1666,497,24058,38,1097
akka/akka,Functional_Static_Disallow_Managed,89853,12299,1442225,764,3949
akka/akka,Procedural_Static_Disallow_Managed,14639,1596,612988,295,3949
akka/akka,Scripting_Dynamic_Allow_Managed,185,6,27686,18,3323
akka/akka,Scripting_Dynamic_Disallow_Managed,75,13,895,21,2226
akveo/ngx-admin,Scripting_Dynamic_Allow_Managed,11,0,41,4,338
alcatraz/Alcatraz,Procedural_Static_Allow_Unmanaged,1034,110,9960,27,1226
alexazhou/VeryNginx,Procedural_Dynamic_Allow_Managed,353,88,5139,12,1000
alexazhou/VeryNginx,Scripting_Dynamic_Allow_Managed,243,62,3903,4,230
alexazhou/VeryNginx,Scripting_Dynamic_Disallow_Managed,72,9,1014,6,1237
algorithm-archivists/algorithm-archive,Functional_Static_Disallow_Managed,32,10,692,5,177
algorithm-archivists/algorithm-archive,Procedural_Static_Allow_Unmanaged,209,113,5656,20,678
algorithm-archivists/algorithm-archive,Procedural_Static_Disallow_Managed,199,78,3620,18,534
algorithm-archivists/algorithm-archive,Scripting_Dynamic_Allow_Managed,70,25,1450,12,630
algorithm-archivists/algorithm-archive,Scripting_Dynamic_Disallow_Managed,85,34,1654,26,665
alibaba/arthas,Procedural_Static_Disallow_Managed,807,140,44969,42,466
alibaba/arthas,Scripting_Dynamic_Allow_Managed,15,1,18908,2,453
alibaba/arthas,Scripting_Dynamic_Disallow_Managed,18,2,723,1,368
alibaba/druid,Procedural_Static_Disallow_Managed,36473,11605,806785,169,3120
alibaba/druid,Scripting_Dynamic_Allow_Managed,166,19,15361,21,2660
alibaba/fastjson,Procedural_Static_Disallow_Managed,13986,2279,334729,134,3048
alibaba/tengine,Procedural_Static_Allow_Unmanaged,3784,415,383621,86,2929
alibaba/tengine,Scripting_Dynamic_Allow_Managed,121,3,19350,19,2653
allinurl/goaccess,Procedural_Static_Allow_Unmanaged,3423,820,80077,65,3429
allinurl/goaccess,Scripting_Dynamic_Allow_Managed,142,60,6331,9,1378
andlabs/libui,Functional_Static_Disallow_Managed,124,38,1935,1,1318
andlabs/libui,Procedural_Static_Allow_Unmanaged,7935,1536,144331,12,1623
andlabs/libui,Procedural_Static_Disallow_Managed,40,4,1562,1,1432
angular-ui/angular-google-maps,Scripting_Dynamic_Allow_Managed,6230,1552,1023473,114,1603
angular-ui/ui-router,Scripting_Dynamic_Allow_Managed,1860,575,393002,139,2170
angular/angular,Scripting_Dynamic_Allow_Managed,13149,2615,400105,185,1904
angular/angular-cli,Scripting_Dynamic_Allow_Managed,1677,387,178017,96,1665
angular/angular.js,Procedural_Static_Disallow_Managed,45,4,2,9,2912
angular/angular.js,Scripting_Dynamic_Allow_Managed,26163,9022,646606,1182,3592
angular/angular.js,Scripting_Dynamic_Disallow_Managed,10,1,71,3,1334
angular/components,Scripting_Dynamic_Allow_Managed,455,122,7549,36,1435
ansible/ansible,Procedural_Static_Disallow_Managed,33,17,4522,5,750
ansible/ansible,Scripting_Dynamic_Allow_Managed,351,50,4963,18,2729
ansible/ansible,Scripting_Dynamic_Disallow_Managed,76098,29472,2585532,4828,2866
ant-design/ant-design,Scripting_Dynamic_Allow_Managed,6527,1748,83636,297,1676
ant-design/ant-design-pro,Scripting_Dynamic_Allow_Managed,3992,1282,60594,198,830
antirez/redis,Procedural_Static_Allow_Unmanaged,10996,3098,345843,341,3915
antirez/redis,Scripting_Dynamic_Disallow_Managed,272,61,7434,19,3619
apache/dubbo,Procedural_Static_Allow_Unmanaged,14,2,2420,1,97
apache/dubbo,Procedural_Static_Disallow_Managed,27660,3017,814582,298,2973
apache/incubator-apisix,Procedural_Dynamic_Allow_Managed,888,185,16778,21,244
apache/incubator-apisix,Scripting_Dynamic_Allow_Managed,42,7,399,7,213
apache/incubator-mxnet,Functional_Static_Disallow_Managed,2126,550,51900,58,1429
apache/incubator-mxnet,Procedural_Static_Allow_Unmanaged,11393,5056,424273,398,1685
apache/incubator-mxnet,Procedural_Static_Disallow_Managed,117,23,7329,10,1310
apache/incubator-mxnet,Scripting_Dynamic_Allow_Managed,745,285,66450,38,1302
apache/incubator-mxnet,Scripting_Dynamic_Disallow_Managed,10363,4765,386177,604,1627
apache/incubator-weex,Procedural_Static_Allow_Unmanaged,13259,2663,704221,171,1276
apache/incubator-weex,Procedural_Static_Disallow_Managed,14430,2579,479642,128,1325
