project,class,commits,bcommits,tins,devs,max_commit_age
jakubroztocil/httpie,Scripting_Dynamic_Disallow_Managed,1536,208,22195,65,2839
jaredpalmer/formik,Scripting_Dynamic_Allow_Managed,202,78,4860,40,881
jashkenas/coffeescript,Procedural_Static_Disallow_Managed,112,7,1284,1,14
jashkenas/coffeescript,Scripting_Dynamic_Allow_Managed,13139,3469,234795,218,3630
jashkenas/coffeescript,Scripting_Dynamic_Disallow_Managed,544,64,33710,2,65
javan/whenever,Scripting_Dynamic_Disallow_Managed,525,78,7531,79,3768
jdg/MBProgressHUD,Procedural_Static_Allow_Unmanaged,515,117,8789,82,3695
jekyll/jekyll,Scripting_Dynamic_Allow_Managed,27,0,2418,8,2470
jekyll/jekyll,Scripting_Dynamic_Disallow_Managed,5667,819,50718,420,4068
jellyfin/jellyfin,Procedural_Static_Disallow_Managed,54147,6166,992682,138,2706
jellyfin/jellyfin,Scripting_Dynamic_Allow_Managed,346,32,28823,6,637
jenkinsci/jenkins,Procedural_Static_Disallow_Managed,32685,8617,538031,606,4783
jenkinsci/jenkins,Scripting_Dynamic_Allow_Managed,1207,355,145318,96,4760
jenkinsci/jenkins,Scripting_Dynamic_Disallow_Managed,44,4,1028,5,3551
jesseduffield/lazygit,Procedural_Static_Disallow_Managed,4949,327,583256,38,574
jessesquires/JSQMessagesViewController,Functional_Static_Disallow_Managed,52,6,1572,6,159
jessesquires/JSQMessagesViewController,Procedural_Static_Allow_Unmanaged,3265,496,39401,84,1484
jinzhu/gorm,Procedural_Static_Disallow_Managed,2903,592,41832,204,2233
jnordberg/wintersmith,Scripting_Dynamic_Allow_Managed,376,73,4705,31,2695
jonas/tig,Procedural_Static_Allow_Unmanaged,3468,876,88826,111,4975
jordansissel/fpm,Scripting_Dynamic_Disallow_Managed,1627,416,21162,243,3238
jquery/jquery,Procedural_Static_Disallow_Managed,16,2,0,4,1618
jquery/jquery,Scripting_Dynamic_Allow_Managed,10348,5044,384301,338,5010
js2coffee/js2coffee,Scripting_Dynamic_Allow_Managed,620,69,8334,6,645
juliangarnier/anime,Scripting_Dynamic_Allow_Managed,683,156,24711,22,1122
junegunn/fzf,Procedural_Static_Disallow_Managed,1278,258,21307,20,1802
junegunn/fzf,Scripting_Dynamic_Disallow_Managed,221,60,4474,3,2213
kaminari/kaminari,Scripting_Dynamic_Disallow_Managed,1460,214,13365,106,3050
kanaka/mal,Functional_Static_Disallow_Managed,431,72,24976,9,1785
kanaka/mal,Procedural_Dynamic_Allow_Managed,81,44,2319,6,1648
kanaka/mal,Procedural_Static_Allow_Unmanaged,552,161,13328,9,1945
kanaka/mal,Procedural_Static_Disallow_Managed,421,132,15814,11,1947
kanaka/mal,Scripting_Dynamic_Allow_Managed,1164,361,16510,14,1953
kanaka/mal,Scripting_Dynamic_Disallow_Managed,484,160,10763,12,2029
kataras/iris,Procedural_Static_Allow_Unmanaged,36,2,1000,3,918
kataras/iris,Procedural_Static_Disallow_Managed,15692,1585,1702154,51,1269
kataras/iris,Scripting_Dynamic_Allow_Managed,203,26,89755,6,918
kdn251/interviews,Procedural_Static_Disallow_Managed,1662,315,32073,15,475
kennyledet/Algorithm-Implementations,Functional_Static_Disallow_Managed,79,1,1520,5,653
kennyledet/Algorithm-Implementations,Procedural_Dynamic_Allow_Managed,457,31,13987,8,1817
kennyledet/Algorithm-Implementations,Procedural_Static_Allow_Unmanaged,195,7,6702,46,1770
kennyledet/Algorithm-Implementations,Procedural_Static_Disallow_Managed,393,20,13656,46,1509
kennyledet/Algorithm-Implementations,Scripting_Dynamic_Allow_Managed,164,11,3487,27,1768
kennyledet/Algorithm-Implementations,Scripting_Dynamic_Disallow_Managed,251,29,4549,46,1397
keras-team/keras,Scripting_Dynamic_Disallow_Managed,8204,2978,187581,826,1684
kevinzhow/PNChart,Procedural_Static_Allow_Unmanaged,1763,674,39919,82,1581
kickstarter/ios-oss,Functional_Static_Disallow_Managed,13260,4086,336870,32,1411
kickstarter/ios-oss,Procedural_Static_Allow_Unmanaged,612,0,25405,5,1204
koreader/koreader,Procedural_Dynamic_Allow_Managed,9828,2985,187621,123,2946
koreader/koreader,Procedural_Static_Allow_Unmanaged,464,93,17356,11,494
krzyzanowskim/CryptoSwift,Functional_Static_Disallow_Managed,3026,263,40768,64,1970
krzyzanowskim/CryptoSwift,Procedural_Static_Allow_Unmanaged,471,2,36766,4,1925
kubernetes/kubernetes,Procedural_Static_Allow_Unmanaged,52,7,245391,22,1701
kubernetes/kubernetes,Procedural_Static_Disallow_Managed,227882,24029,13924345,2419,2012
kubernetes/kubernetes,Scripting_Dynamic_Allow_Managed,1281,24,213374,47,1972
kubernetes/kubernetes,Scripting_Dynamic_Disallow_Managed,735,205,31487,94,1985
kubernetes/minikube,Procedural_Static_Allow_Unmanaged,72,0,8500,8,1173
kubernetes/minikube,Procedural_Static_Disallow_Managed,51404,1388,6616767,259,1332
kubernetes/minikube,Scripting_Dynamic_Allow_Managed,108,0,6034,6,881
kubernetes/minikube,Scripting_Dynamic_Disallow_Managed,38,5,1003,14,1263
labstack/echo,Procedural_Static_Disallow_Managed,5115,795,359417,138,1715
labstack/echo,Scripting_Dynamic_Allow_Managed,50,2,154,3,792
lagom/lagom,Functional_Static_Disallow_Managed,6430,1140,79175,71,1370
lagom/lagom,Procedural_Static_Disallow_Managed,2793,218,44363,41,1357
lampepfl/dotty,Functional_Static_Disallow_Managed,63100,13168,807079,194,2561
lampepfl/dotty,Procedural_Static_Disallow_Managed,2045,508,13382,63,2095
lampepfl/dotty,Scripting_Dynamic_Allow_Managed,39,9,339,4,1251
laravel/framework,Scripting_Dynamic_Allow_Managed,36272,10430,509565,2632,2525
laravel/laravel,Scripting_Dynamic_Allow_Managed,8964,1333,163805,483,3105
laurilehmijoki/s3_website,Functional_Static_Disallow_Managed,560,82,8302,9,1195
laurilehmijoki/s3_website,Scripting_Dynamic_Disallow_Managed,456,48,3709,22,2384
leafo/moonscript,Procedural_Dynamic_Allow_Managed,1185,161,24301,15,2541
libgdx/libgdx,Procedural_Dynamic_Allow_Managed,116,3,2475,6,1874
libgdx/libgdx,Procedural_Static_Allow_Unmanaged,10189,639,2332320,38,3531
libgdx/libgdx,Procedural_Static_Disallow_Managed,46988,11005,1374418,618,3557
libgdx/libgdx,Scripting_Dynamic_Allow_Managed,35,4,4612,6,2060
libgdx/libgdx,Scripting_Dynamic_Disallow_Managed,113,6,34154,6,2980
libuv/libuv,Procedural_Static_Allow_Unmanaged,10206,2980,253377,355,3182
libuv/libuv,Scripting_Dynamic_Disallow_Managed,24,8,576,8,2729
lihaoyi/Ammonite,Functional_Static_Disallow_Managed,5620,927,72538,83,1746
lihaoyi/Ammonite,Procedural_Static_Disallow_Managed,8,1,239,3,1166
lihaoyi/Ammonite,Scripting_Dynamic_Disallow_Managed,15,4,155,2,306
linkerd/linkerd,Functional_Static_Disallow_Managed,4944,1180,103545,85,1422
linkerd/linkerd,Scripting_Dynamic_Allow_Managed,461,169,20705,15,1384
linnovate/mean,Scripting_Dynamic_Allow_Managed,2463,347,98080,142,1952
localstack/localstack,Procedural_Static_Disallow_Managed,285,54,10646,35,1209
localstack/localstack,Scripting_Dynamic_Allow_Managed,14,10,34,3,880
localstack/localstack,Scripting_Dynamic_Disallow_Managed,2001,711,30207,167,1211
luakit/luakit,Procedural_Dynamic_Allow_Managed,4167,726,63798,74,3455
luakit/luakit,Procedural_Static_Allow_Unmanaged,2871,560,39437,41,3390
luakit/luakit,Scripting_Dynamic_Allow_Managed,13,2,435,4,2615
luarocks/luarocks,Procedural_Dynamic_Allow_Managed,3479,719,51754,71,3887
luarocks/luarocks,Procedural_Static_Allow_Unmanaged,23,3,1650,8,3305
luvit/luvit,Procedural_Dynamic_Allow_Managed,3469,565,73304,72,2953
luvit/luvit,Procedural_Static_Allow_Unmanaged,1418,140,121019,24,1139
luvit/luvit,Scripting_Dynamic_Disallow_Managed,431,8,31647,6,1035
mac-cain13/R.swift,Functional_Static_Disallow_Managed,1655,180,18506,32,1811
magicalpanda/MagicalRecord,Procedural_Static_Allow_Unmanaged,4132,468,85405,83,3250
magicalpanda/MagicalRecord,Scripting_Dynamic_Disallow_Managed,10,0,448,3,1310
major/MySQLTuner-perl,Scripting_Dynamic_Allow_Managed,530,171,17486,99,4521
mame/quine-relay,Scripting_Dynamic_Disallow_Managed,580,64,11409,10,2300
marcuswestin/WebViewJavascriptBridge,Procedural_Static_Allow_Unmanaged,440,84,5259,40,2264
marmelab/react-admin,Scripting_Dynamic_Allow_Managed,12023,1926,288006,184,1253
mas-cli/mas,Functional_Static_Disallow_Managed,1263,78,55221,15,1335
mas-cli/mas,Procedural_Static_Allow_Unmanaged,602,14,13234,5,1335
mas-cli/mas,Scripting_Dynamic_Disallow_Managed,52,0,295,5,436
matomo-org/matomo,Procedural_Static_Disallow_Managed,60,10,2851,13,3907
matomo-org/matomo,Scripting_Dynamic_Allow_Managed,75511,20895,2677077,254,4522
matomo-org/matomo,Scripting_Dynamic_Disallow_Managed,228,75,4169,28,1098
matryer/bitbar,Procedural_Static_Allow_Unmanaged,356,49,4916,25,2077
matryer/bitbar,Scripting_Dynamic_Disallow_Managed,30,0,680,9,1
mattermost/mattermost-server,Procedural_Static_Allow_Unmanaged,42,8,273610,7,1461
mattermost/mattermost-server,Procedural_Static_Disallow_Managed,41533,8293,3621611,414,1640
mattermost/mattermost-server,Scripting_Dynamic_Allow_Managed,15176,4728,362736,153,1522
memcached/memcached,Procedural_Static_Allow_Unmanaged,2030,677,43833,150,6012
memcached/memcached,Scripting_Dynamic_Allow_Managed,51,8,814,11,5677
mesos/chronos,Functional_Static_Disallow_Managed,1306,282,22022,75,2002
mesos/chronos,Scripting_Dynamic_Allow_Managed,758,48,116191,17,1443
mesos/chronos,Scripting_Dynamic_Disallow_Managed,33,11,849,9,1003
mesosphere/marathon,Functional_Static_Disallow_Managed,19850,5660,329112,155,2339
mesosphere/marathon,Procedural_Static_Disallow_Managed,169,34,125934,49,2242
mesosphere/marathon,Scripting_Dynamic_Allow_Managed,1288,141,286457,27,1657
mesosphere/marathon,Scripting_Dynamic_Disallow_Managed,853,96,32902,32,1749
meteor/meteor,Procedural_Static_Allow_Unmanaged,266,7,19699,6,1004
meteor/meteor,Procedural_Static_Disallow_Managed,33,2,1138,4,1086
meteor/meteor,Scripting_Dynamic_Allow_Managed,55880,6296,1036448,431,2940
meteor/meteor,Scripting_Dynamic_Disallow_Managed,29,4,841,10,2375
michaelficarra/CoffeeScriptRedux,Scripting_Dynamic_Allow_Managed,1726,496,118995,25,1770
micropython/micropython,Procedural_Static_Allow_Unmanaged,24916,2872,1496632,236,2256
micropython/micropython,Scripting_Dynamic_Disallow_Managed,3971,424,70279,110,2168
microsoft/CNTK,Procedural_Static_Allow_Unmanaged,25607,6300,1105621,189,1788
microsoft/CNTK,Procedural_Static_Disallow_Managed,480,62,16132,30,1276
microsoft/CNTK,Scripting_Dynamic_Disallow_Managed,11021,2048,300376,140,1608
microsoft/TypeScript,Scripting_Dynamic_Allow_Managed,61182,4651,6766245,257,1979
microsoft/VFSForGit,Procedural_Static_Allow_Unmanaged,1084,254,29477,12,939
microsoft/VFSForGit,Procedural_Static_Disallow_Managed,5882,778,131035,29,966
microsoft/calculator,Procedural_Static_Allow_Unmanaged,1897,761,85868,40,315
microsoft/calculator,Procedural_Static_Disallow_Managed,115,1,4193,8,262
microsoft/react-native-windows,Procedural_Static_Allow_Unmanaged,4227,1551,205217,58,1204
microsoft/react-native-windows,Procedural_Static_Disallow_Managed,6224,3388,117330,71,1452
microsoft/react-native-windows,Scripting_Dynamic_Allow_Managed,1963,974,68672,64,1448
microsoft/terminal,Procedural_Static_Allow_Unmanaged,3380,847,231883,89,456
microsoft/terminal,Procedural_Static_Disallow_Managed,238,46,12162,27,843
microsoft/vscode,Procedural_Static_Allow_Unmanaged,11,4,90,2,1329
microsoft/vscode,Scripting_Dynamic_Allow_Managed,3747,934,346089,126,1489
milessabin/shapeless,Functional_Static_Disallow_Managed,3091,384,76973,129,3005
minio/minio,Procedural_Static_Allow_Unmanaged,490,19,28225,6,1614
minio/minio,Procedural_Static_Disallow_Managed,26980,6348,1443938,152,1867
minio/minio,Scripting_Dynamic_Allow_Managed,914,217,19241,16,1612
moby/moby,Procedural_Static_Allow_Unmanaged,111,12,163486,26,1878
moby/moby,Procedural_Static_Disallow_Managed,68954,12564,2499663,1279,2509
moby/moby,Scripting_Dynamic_Allow_Managed,56,3,3986,7,693
moby/moby,Scripting_Dynamic_Disallow_Managed,90,18,2195,25,1315
mockery/mockery,Scripting_Dynamic_Allow_Managed,2175,518,32334,141,3928
mojolicious/mojo,Scripting_Dynamic_Allow_Managed,21704,3565,208779,139,4061
moment/moment,Scripting_Dynamic_Allow_Managed,11200,1686,655018,524,3020
mongodb/mongo,Procedural_Static_Allow_Unmanaged,255716,19214,15517429,615,4427
mongodb/mongo,Procedural_Static_Disallow_Managed,6226,107,1167940,16,3931
mongodb/mongo,Scripting_Dynamic_Allow_Managed,41960,4683,1100506,424,4418
mongodb/mongo,Scripting_Dynamic_Disallow_Managed,8121,1032,329518,199,3778
mono/mono,Procedural_Static_Allow_Unmanaged,69509,18927,1803220,455,6749
mono/mono,Procedural_Static_Disallow_Managed,290649,54632,13693086,1070,6754
mono/mono,Scripting_Dynamic_Allow_Managed,6102,151,634839,72,6734
mono/mono,Scripting_Dynamic_Disallow_Managed,421,122,11443,50,4532
morrisjs/morris.js,Scripting_Dynamic_Allow_Managed,762,163,29890,42,1111
mozilla-mobile/firefox-ios,Functional_Static_Disallow_Managed,16568,12228,307804,175,1862
mozilla-mobile/firefox-ios,Procedural_Static_Allow_Unmanaged,3626,2006,1289384,26,1681
mozilla-mobile/firefox-ios,Scripting_Dynamic_Allow_Managed,314,274,9004,26,1813
mozilla-mobile/firefox-ios,Scripting_Dynamic_Disallow_Managed,119,67,6272,14,1759
mozilla/DeepSpeech,Procedural_Static_Allow_Unmanaged,1591,79,318539,13,1016
mozilla/DeepSpeech,Procedural_Static_Disallow_Managed,151,23,3103,6,396
mozilla/DeepSpeech,Scripting_Dynamic_Allow_Managed,79,25,833,10,1146
mozilla/DeepSpeech,Scripting_Dynamic_Disallow_Managed,1074,371,43748,66,1286
mperham/sidekiq,Scripting_Dynamic_Allow_Managed,210,26,15321,29,2731
mperham/sidekiq,Scripting_Dynamic_Disallow_Managed,3604,849,35897,304,2866
mpv-player/mpv,Functional_Static_Disallow_Managed,121,54,3833,2,594
mpv-player/mpv,Procedural_Dynamic_Allow_Managed,537,143,11782,58,2266
mpv-player/mpv,Procedural_Static_Allow_Unmanaged,75023,17486,1557619,405,6863
mpv-player/mpv,Scripting_Dynamic_Allow_Managed,111,18,4184,26,6795
mpv-player/mpv,Scripting_Dynamic_Disallow_Managed,737,147,6482,84,6693
mrdoob/three.js,Procedural_Static_Allow_Unmanaged,55,6,6785,6,2499
mrdoob/three.js,Procedural_Static_Disallow_Managed,18,1,0,5,2561
mrdoob/three.js,Scripting_Dynamic_Allow_Managed,45179,7136,5856848,1064,3518
mrdoob/three.js,Scripting_Dynamic_Disallow_Managed,1190,272,63302,125,2973
mui-org/material-ui,Scripting_Dynamic_Allow_Managed,80610,26160,696584,1274,1940
munin-monitoring/munin,Procedural_Static_Disallow_Managed,396,58,5773,7,3291
munin-monitoring/munin,Scripting_Dynamic_Allow_Managed,2783,725,62230,77,5801
munin-monitoring/munin,Scripting_Dynamic_Disallow_Managed,42,4,790,7,3785
mxcl/PromiseKit,Functional_Static_Disallow_Managed,1429,422,26435,67,1967
mxcl/PromiseKit,Procedural_Static_Allow_Unmanaged,884,277,15096,44,1954
mxcl/PromiseKit,Scripting_Dynamic_Disallow_Managed,20,4,189,2,340
nagadomi/waifu2x,Procedural_Dynamic_Allow_Managed,740,133,13057,5,1655
nagadomi/waifu2x,Scripting_Dynamic_Allow_Managed,16,2,478,2,322
nestjs/nest,Scripting_Dynamic_Allow_Managed,3069,92,57007,16,954
netdata/netdata,Procedural_Static_Allow_Unmanaged,7094,2715,255383,74,2365
netdata/netdata,Scripting_Dynamic_Allow_Managed,1132,369,86019,67,2361
netdata/netdata,Scripting_Dynamic_Disallow_Managed,1983,767,64235,101,1277
netty/netty,Procedural_Static_Allow_Unmanaged,284,83,9374,28,2118
netty/netty,Procedural_Static_Disallow_Managed,43138,11005,915776,553,4142
nextcloud/server,Scripting_Dynamic_Allow_Managed,183639,20209,3578181,864,3562
nginx/nginx,Procedural_Static_Allow_Unmanaged,16759,4569,353644,64,6320
nginx/nginx,Scripting_Dynamic_Allow_Managed,255,9,553,7,4241
nicklockwood/iCarousel,Procedural_Static_Allow_Unmanaged,1335,128,62958,17,2029
nicolaskruchten/pivottable,Scripting_Dynamic_Allow_Managed,988,246,20938,33,2069
nikic/PHP-Parser,Scripting_Dynamic_Allow_Managed,4926,712,140640,67,3118
niklasvh/html2canvas,Scripting_Dynamic_Allow_Managed,1866,572,170958,38,2993
ninjaprox/NVActivityIndicatorView,Functional_Static_Disallow_Managed,873,80,12363,35,1524
ninjaprox/NVActivityIndicatorView,Procedural_Static_Allow_Unmanaged,10,0,97,2,1198
nlohmann/json,Procedural_Static_Allow_Unmanaged,5718,1273,389470,108,2328
nlohmann/json,Scripting_Dynamic_Disallow_Managed,29,2,9317,3,1941
nodejs/node,Procedural_Dynamic_Allow_Managed,76,0,12375,9,3053
nodejs/node,Procedural_Static_Allow_Unmanaged,105141,13049,8869376,614,3946
nodejs/node,Procedural_Static_Disallow_Managed,15,1,1893,7,1365
nodejs/node,Scripting_Dynamic_Allow_Managed,117885,17890,5222428,2298,3943
nodejs/node,Scripting_Dynamic_Disallow_Managed,7604,778,462892,144,3924
noflo/noflo,Scripting_Dynamic_Allow_Managed,2650,572,44272,25,2961
nostra13/Android-Universal-Image-Loader,Procedural_Static_Disallow_Managed,1912,180,34138,32,2689
nothings/stb,Procedural_Static_Allow_Unmanaged,1494,445,122918,153,1904
nsqio/nsq,Procedural_Static_Disallow_Managed,3701,512,70175,96,2760
nsqio/nsq,Scripting_Dynamic_Allow_Managed,83,20,1731,6,1513
nsqio/nsq,Scripting_Dynamic_Disallow_Managed,27,8,1157,2,1240
numpy/numpy,Procedural_Static_Allow_Unmanaged,10967,3638,1191772,303,6550
numpy/numpy,Scripting_Dynamic_Allow_Managed,9,1,1072,5,3918
numpy/numpy,Scripting_Dynamic_Disallow_Managed,26211,8637,607846,949,6560
nvbn/thefuck,Scripting_Dynamic_Disallow_Managed,2722,472,26112,126,1673
nwjs/nw.js,Procedural_Static_Allow_Unmanaged,4966,1786,98429,51,2920
nwjs/nw.js,Procedural_Static_Disallow_Managed,18,0,551,5,1302
nwjs/nw.js,Scripting_Dynamic_Allow_Managed,1936,263,138797,37,2907
nwjs/nw.js,Scripting_Dynamic_Disallow_Managed,694,138,12738,24,2528
obsproject/obs-studio,Procedural_Dynamic_Allow_Managed,101,1,118278,5,2017
obsproject/obs-studio,Procedural_Static_Allow_Unmanaged,13225,3460,508604,245,2261
obsproject/obs-studio,Scripting_Dynamic_Disallow_Managed,17,3,901,4,1699
ocornut/imgui,Procedural_Static_Allow_Unmanaged,8952,2133,178596,185,1947
octalmage/robotjs,Procedural_Static_Allow_Unmanaged,338,82,6031,38,1912
octalmage/robotjs,Scripting_Dynamic_Allow_Managed,71,8,1019,4,1274
octobercms/october,Scripting_Dynamic_Allow_Managed,11684,2591,826233,377,1952
omniauth/omniauth,Scripting_Dynamic_Disallow_Managed,2088,215,21782,172,3519
onevcat/Kingfisher,Functional_Static_Disallow_Managed,2934,414,46267,132,1707
onevcat/Kingfisher,Procedural_Static_Allow_Unmanaged,320,0,2129,1,1593
onivim/oni,Scripting_Dynamic_Allow_Managed,358,125,294817,22,676
openai/gym,Scripting_Dynamic_Disallow_Managed,1977,569,29152,199,1317
opencv/opencv,Functional_Static_Disallow_Managed,22,2,183,7,960
opencv/opencv,Procedural_Static_Allow_Unmanaged,57398,14028,3602776,1244,3500
opencv/opencv,Procedural_Static_Disallow_Managed,3103,912,110755,83,3368
opencv/opencv,Scripting_Dynamic_Allow_Managed,74,24,5525,24,3311
opencv/opencv,Scripting_Dynamic_Disallow_Managed,3887,805,107526,196,3494
openfaas/faas,Procedural_Static_Disallow_Managed,14263,124,2325014,39,1082
openfaas/faas,Scripting_Dynamic_Allow_Managed,84,16,2006,15,1067
openfaas/faas,Scripting_Dynamic_Disallow_Managed,26,2,1324,5,893
openssl/openssl,Procedural_Static_Allow_Unmanaged,60672,12525,1722931,501,7658
openssl/openssl,Scripting_Dynamic_Allow_Managed,5429,1099,289592,83,7653
openssl/openssl,Scripting_Dynamic_Disallow_Managed,8,0,79,6,1654
openwrt/luci,Procedural_Dynamic_Allow_Managed,8919,1894,167787,180,4291
openwrt/luci,Procedural_Static_Allow_Unmanaged,1184,180,98637,15,4212
openwrt/luci,Scripting_Dynamic_Allow_Managed,843,222,57154,42,4268
orlabs/orange,Procedural_Dynamic_Allow_Managed,689,89,24685,24,1340
orlabs/orange,Scripting_Dynamic_Allow_Managed,269,22,16778,10,1337
ornicar/lila,Functional_Static_Disallow_Managed,48893,4167,371197,85,2847
ornicar/lila,Procedural_Static_Disallow_Managed,412,33,28752,7,2683
ornicar/lila,Scripting_Dynamic_Allow_Managed,11629,1897,233216,52,2763
ornicar/lila,Scripting_Dynamic_Disallow_Managed,37,6,378,5,2726
osquery/osquery,Procedural_Static_Allow_Unmanaged,15017,3035,327815,228,1956
osquery/osquery,Scripting_Dynamic_Allow_Managed,146,0,23307,3,1246
osquery/osquery,Scripting_Dynamic_Disallow_Managed,1207,140,17062,64,1958
overtrue/wechat,Scripting_Dynamic_Allow_Managed,6580,2139,98484,123,1457
p0pr0ck5/lua-resty-waf,Procedural_Dynamic_Allow_Managed,912,147,21481,7,1243
p0pr0ck5/lua-resty-waf,Scripting_Dynamic_Allow_Managed,94,29,2405,1,338
palantir/blueprint,Scripting_Dynamic_Allow_Managed,563,154,462682,20,1128
pallets/flask,Scripting_Dynamic_Disallow_Managed,3167,663,47261,335,3519
pandas-dev/pandas,Procedural_Static_Allow_Unmanaged,913,303,159858,85,3779
pandas-dev/pandas,Scripting_Dynamic_Disallow_Managed,54414,15554,1475851,1859,3780
paradoxxxzero/butterfly,Scripting_Dynamic_Allow_Managed,614,242,38999,5,1734
paradoxxxzero/butterfly,Scripting_Dynamic_Disallow_Managed,389,151,4731,15,1734
parcel-bundler/parcel,Scripting_Dynamic_Allow_Managed,7167,1382,124665,205,857
pbatard/rufus,Procedural_Static_Allow_Unmanaged,3549,1595,133064,27,2927
pbatard/rufus,Procedural_Static_Disallow_Managed,14,5,1669,1,364
phacility/phabricator,Scripting_Dynamic_Allow_Managed,78540,15103,1299415,326,3248
phalcon/cphalcon,Procedural_Static_Allow_Unmanaged,60473,11351,28620846,93,2828
phalcon/cphalcon,Scripting_Dynamic_Allow_Managed,48114,2734,2916453,178,2821
phanan/koel,Scripting_Dynamic_Allow_Managed,3653,837,55241,30,1450
philc/vimium,Scripting_Dynamic_Allow_Managed,4399,987,49716,124,3681
php/php-src,Procedural_Static_Allow_Unmanaged,170603,49823,10441592,899,7552
php/php-src,Procedural_Static_Disallow_Managed,181,13,3839,11,5155
php/php-src,Scripting_Dynamic_Allow_Managed,5683,1228,141056,218,7552
pingcap/tidb,Procedural_Static_Disallow_Managed,45651,5773,1765169,425,1557
pjreddie/darknet,Procedural_Static_Allow_Unmanaged,2620,455,73621,9,1772
pjreddie/darknet,Scripting_Dynamic_Disallow_Managed,21,1,454,1,969
pkulchenko/ZeroBraneStudio,Procedural_Dynamic_Allow_Managed,6658,1563,309938,58,4100
pkulchenko/ZeroBraneStudio,Procedural_Static_Allow_Unmanaged,16,4,728,3,2456
plataformatec/devise,Scripting_Dynamic_Disallow_Managed,6405,845,46968,495,3724
plataformatec/simple_form,Scripting_Dynamic_Disallow_Managed,3065,433,26592,192,3621
playframework/playframework,Functional_Static_Disallow_Managed,23517,4934,352400,532,3011
playframework/playframework,Procedural_Static_Disallow_Managed,8770,2017,160717,201,2997
playframework/playframework,Scripting_Dynamic_Allow_Managed,255,40,56274,31,2877
pocorall/scaloid,Functional_Static_Disallow_Managed,1001,138,60451,17,2128
pocorall/scaloid,Procedural_Static_Disallow_Managed,9,2,285,4,852
polynote/polynote,Functional_Static_Disallow_Managed,1885,585,39024,6,324
polynote/polynote,Scripting_Dynamic_Allow_Managed,494,99,11903,3,287
polynote/polynote,Scripting_Dynamic_Disallow_Managed,23,6,26764,2,176
pooler/cpuminer,Procedural_Static_Allow_Unmanaged,429,52,14266,14,2967
pret/pokecrystal,Procedural_Static_Allow_Unmanaged,50,29,2084,7,905
pret/pokecrystal,Scripting_Dynamic_Disallow_Managed,775,148,41961,14,2651
pret/pokered,Procedural_Static_Allow_Unmanaged,109,2,3794,5,2576
pret/pokered,Scripting_Dynamic_Disallow_Managed,302,43,12967,9,2555
prettier/prettier,Scripting_Dynamic_Allow_Managed,10637,2756,264786,253,1105
prisma/prisma,Functional_Static_Disallow_Managed,18938,1659,354438,17,746
prisma/prisma,Procedural_Static_Allow_Unmanaged,15,4,88,2,281
prisma/prisma,Procedural_Static_Disallow_Managed,128,30,1620,4,666
prisma/prisma,Scripting_Dynamic_Allow_Managed,513,125,19093,17,656
prisma/prisma,Scripting_Dynamic_Disallow_Managed,141,18,1766,3,113
project-everest/hacl-star,Procedural_Static_Allow_Unmanaged,9145,143,593705,19,719
prometheus/prometheus,Procedural_Static_Disallow_Managed,24408,3222,3061612,441,2573
prometheus/prometheus,Scripting_Dynamic_Allow_Managed,313,82,37934,58,2485
protocolbuffers/protobuf,Functional_Static_Disallow_Managed,7,2,630,2,521
protocolbuffers/protobuf,Procedural_Static_Allow_Unmanaged,13755,2133,961779,369,4164
protocolbuffers/protobuf,Procedural_Static_Disallow_Managed,9004,1059,1017368,123,4150
protocolbuffers/protobuf,Scripting_Dynamic_Allow_Managed,1351,295,74809,43,1435
protocolbuffers/protobuf,Scripting_Dynamic_Disallow_Managed,1606,200,65807,101,4142
proxyee-down-org/proxyee-down,Procedural_Static_Disallow_Managed,1129,20,22874,4,701
proxyee-down-org/proxyee-down,Scripting_Dynamic_Allow_Managed,261,15,5006,11,686
psf/requests,Scripting_Dynamic_Disallow_Managed,4486,803,107237,479,3175
pubkey/rxdb,Scripting_Dynamic_Allow_Managed,4845,629,579620,34,1099
puppeteer/puppeteer,Scripting_Dynamic_Allow_Managed,3450,1179,103390,130,944
pypa/pipenv,Procedural_Static_Allow_Unmanaged,148,0,41187,3,722
pypa/pipenv,Scripting_Dynamic_Disallow_Managed,10555,1707,715489,233,960
python/cpython,Procedural_Static_Allow_Unmanaged,56072,14964,3668039,503,10648
python/cpython,Scripting_Dynamic_Allow_Managed,85,11,2917,15,7920
python/cpython,Scripting_Dynamic_Disallow_Managed,95403,22959,2655338,845,10650
pytorch/pytorch,Procedural_Dynamic_Allow_Managed,120,24,2496,19,2151
pytorch/pytorch,Procedural_Static_Allow_Unmanaged,61917,9582,1700918,1062,2877
pytorch/pytorch,Procedural_Static_Disallow_Managed,55,6,3002,3,95
pytorch/pytorch,Scripting_Dynamic_Disallow_Managed,26572,6014,660560,1260,1629
radareorg/radare2,Procedural_Dynamic_Allow_Managed,23,3,878,2,1721
radareorg/radare2,Procedural_Static_Allow_Unmanaged,58109,29457,1577621,813,3960
radareorg/radare2,Procedural_Static_Disallow_Managed,7,5,59,2,1194
radareorg/radare2,Scripting_Dynamic_Allow_Managed,816,268,150614,27,3931
radareorg/radare2,Scripting_Dynamic_Disallow_Managed,223,82,3719,18,3951
rails/rails,Procedural_Dynamic_Allow_Managed,21,3,224,7,1763
